mode	name_match	marker_overlap	reviewed_result	review_confidence	review_class	classification_note	pairwise_assessment	followup_flag	jaccard	paper_1	paper_title_1	cell_type_1	markers_1	shared_markers	unique_markers_1	context_summary_1	context_snippet_1	manuscript_1	evidence_line_1	paper_2	paper_title_2	cell_type_2	markers_2	unique_markers_2	context_summary_2	context_snippet_2	manuscript_2	evidence_line_2	interpretation_note_1	interpretation_note_2	interpretation_note_3	labels	pair_id
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Same name supported	low	exactMatch	Labels appear interchangeable in this review context. Likely same naive T-cell concept spelled-out naive T cell versus TN abbreviation	TN is a naive-like T-cell label; the shared markers support a straightforward abbreviation/state alias.		1.0	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	Single-cell atlas of tumor clonal evolution in liver cancer	NAÏVE T CELL	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		liver cancer clonal evolution	We also evaluated each T cell subtype by using the 4 well-defined naïve T cell markers (CCR7, LEF1, SELL, TCF7), 12 cytotoxic markers (PRF1, IFNG, GNLY, NKG7, GZMB, GZMA, GZMH, KLRK1, KLRB1, KLRD1, CTSW, CST7) as well as T-cell exhaustion marker genes (Figures S4D and S4G) (Guo et al., 2018).	data/biorxiv/meca/1fa7b83f-6da7-1014-a69d-d257852e8dd1/manuscript.md	192	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	TN	TCF7; CCR7; LEF1; SELL		tumor/immune-checkpoint study	In the CD4+ T cell compartment, naïve-like T cells (TN, CD4_cluster0) and central memory T cells (TCM, CD4_cluster1) expressing SELL, TCF7, LEF1, and CCR7 genes or tissue-resident memory T cells (TRM, CD4_clusters3, 5, 6) expressing NR4A1, MYADM, and PTGER4 genes were abundant in most samples.	data/biorxiv/meca/96c0ca44-7598-1014-bd6e-c97aae1f298a/manuscript.md	76	spelled-out naive T cell versus TN abbreviation	CCR7/SELL/TCF7/LEF1 support naive-like T-cell identity.	liver cancer clonal evolution versus tumor/immune-checkpoint study	NAÏVE T CELL vs TN	P01
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Same name supported	low	exactMatch	Labels appear interchangeable in this review context. Same lineage; mostly abbreviation abbreviation EC versus spelled-out endothelial cells	EC is an abbreviation for endothelial cells; the shared markers CD144/AQP1/PECAM1 support the same endothelial lineage.		1.0	biorxiv:2746af96-6da7-1014-ab14-859a63e4801c	Aquaporins enriched in endothelial vacuole membrane regulate the diameters of microvasculature in hyperglycemia	EC	CD144; AQP1; PECAM1	CD144; AQP1; PECAM1		endothelial aquaporin study	Our results also demonstrated that AQP1 was specifically expressed in ECs (including HUVECs and isolated human ECs), similar to the maker genes CD31 and CD144, but AQP8 expression was almost undetectable in ECs (Fig.S11A and B).	data/biorxiv/meca/2746af96-6da7-1014-ab14-859a63e4801c/manuscript.md	197	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	Salivary ZG16B expression loss follows exocrine gland dysfunction related to oral chronic graft-versus-host disease.	ENDOTHELIAL CELLS	CD144; AQP1; PECAM1		salivary gland single-cell study	The presence of PECAM , CDH5 , and AQP1 in C5 and C19 identified these clusters as endothelial cells.	data/hca/manuscripts/0274_10.1016_j.isci.2021.103592_3ec037cca1/manuscript.md	61	abbreviation EC versus spelled-out endothelial cells	CD144/AQP1/PECAM1 support endothelial identity.	endothelial aquaporin study versus salivary gland single-cell study	EC vs ENDOTHELIAL CELLS	P02
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Same name supported	low_flag_context	exactMatch	Labels appear interchangeable in this review context. Same concept, but source context should be checked full regulatory T-cell label versus Treg abbreviation	Regulatory T cell and Treg are the same concept; the marker overlap supports nomenclature harmonization rather than state discovery. The second snippet is not very specific and should be checked before using.	review before manuscript use	1.0	biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f	Velociraptor: Cross-Platform Quantitative Search Using Hallmark Cell Features	REGULATORY T CELL	FOXP3; IL7R; CD25	FOXP3; IL7R; CD25		method/tool paper	Even in a well-established field such as immunology, different groups may use different features to identify the same cell population (e.g., using CD127, CD25, FOXP3, or a combination of these features to identify regulatory T cells).	data/biorxiv/meca/9e5c18fc-76e5-1014-9f81-96148d260e0f/manuscript.md	39	hca:0098_10.1038_s41586-020-03148-w_f50cb505c0	Circuits between infected macrophages and T cells in SARS-CoV-2 pneumonia.	TREG	FOXP3; IL7R; CD25		SARS-CoV-2 pneumonia immune study	DC1 – conventional dendritic cells type 1, CLEC9A +; DC2 – conventional dendritic cells type 2, CD1C +; Migratory DC – migratory dendritic cells, CCR7 +; pDC – plasmacytoid dendritic cells, CLEC4C +; Mixed myeloid – mixed cluster containing transitory dendritic cells and very immature monocyte-derived macrophages; TRAM – tissue-resident alveolar macrophages;...	data/hca/manuscripts/0098_10.1038_s41586-020-03148-w_f50cb505c0/manuscript.md	91	full regulatory T-cell label versus Treg abbreviation	FOXP3/IL7R/CD25 support Treg annotation, but the extracted context for paper 2 is broad and not ideal.	method/tool paper versus SARS-CoV-2 pneumonia immune study	REGULATORY T CELL vs TREG	P03
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Shared naive-like state; not same cell type naive T-cell label versus Treg subtype carrying naive markers	Naive T-cell markers retrieve Treg.1 because the source states Treg.1 has elevated naive markers. This is not a cell-type identity match; it shows that a regulatory subtype can carry a naive-like state program.		1.0	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	Single-cell atlas of tumor clonal evolution in liver cancer	NAÏVE T CELL	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		liver cancer clonal evolution	We also evaluated each T cell subtype by using the 4 well-defined naïve T cell markers (CCR7, LEF1, SELL, TCF7), 12 cytotoxic markers (PRF1, IFNG, GNLY, NKG7, GZMB, GZMA, GZMH, KLRK1, KLRB1, KLRD1, CTSW, CST7) as well as T-cell exhaustion marker genes (Figures S4D and S4G) (Guo et al., 2018).	data/biorxiv/meca/1fa7b83f-6da7-1014-a69d-d257852e8dd1/manuscript.md	192	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	TREG.1	TCF7; CCR7; LEF1; SELL		immune-suppressive-barrier study	Treg.1 showed elevated expression of naïve markers (LEF1, SELL, CCR7, and TCF7), Treg.2 showed elevated expression of suppressive markers (FOXP3, CTLA4, TIGIT, PDCD1/PD1, HAVCR2/TIM3, ICOS, LAG3), and Treg.3 displayed an intermediate phenotype (Supplementary Fig. 3.7b).	data/biorxiv/meca/e2efdcad-73c4-1014-9c6c-8a89f519fd2d/manuscript.md	78	naive T-cell label versus Treg subtype carrying naive markers	CCR7/SELL/TCF7/LEF1 indicate naive/resting state, not regulatory identity.	liver cancer clonal evolution versus immune-suppressive-barrier study	NAÏVE T CELL vs TREG.1	P04
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	narrowMatch	Paper 2 label is narrower than Paper 1 label. Same activation state at different specificity generic activated label versus activated tissue-resident/effector-memory cluster	Activated and activated TRM/TEM cluster are both activation labels using IFNG/CCL3/CCL4. This is a clean cross-study state match despite different specificity.		1.0	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668	NK cells contribute to resistance to anti-PD1 therapy in immune-excluded melanomas	ACTIVATED	IFNG; CCL3; CCL4	IFNG; CCL3; CCL4		melanoma anti-PD1 study	In parallel, re-clustering identified four CD8+ T cells states: Memory (IL7R, FOS, TCF7, SELL)5, Activated (IFNG, CCL3, CCL4), Cytotoxic (GNLY, GZMB, PRF1), andDysfunctional (expressing higher levels of CXCL13, LAG3, CTLA4, and HAVCR2, and lower levels of cytotoxic genes and IFNG) 29.	data/biorxiv/meca/6f28f2e1-6c20-1014-910c-d12c701e7668/manuscript.md	62	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease	ACTIVATED TRM/TEM CLUSTER	IFNG; CCL3; CCL4		human T-cell tissue/activation-state atlas	an activated TRM/TEM cluster expressing IFNG, CCL4, CCL3 ; and clusters representing terminally differentiated effector cells (TEMRA) expressing cytotoxic markers PRF1 and NKG7 (Fig. 1c ).	data/hca/manuscripts/0426_10.1038_s41467-019-12464-3_0f8440336d/manuscript.md	16	generic activated label versus activated tissue-resident/effector-memory cluster	IFNG/CCL3/CCL4 define activation across both labels.	melanoma anti-PD1 study versus human T-cell tissue/activation-state atlas	ACTIVATED vs ACTIVATED TRM/TEM CLUSTER	P05
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Shared central-memory/naive-like state across different T-cell identities central memory label versus Treg subtype with naive-like features	TCM and Treg.1 share CCR7/SELL/TCF7/LEF1 because Treg.1 is described as naive-like. This links memory/naive state markers across regulatory and non-regulatory labels.		1.0	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	TCM	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		immune-checkpoint/tumor-signature study	In the CD4+ T cell compartment, naïve-like T cells (TN, CD4_cluster0) and central memory T cells (TCM, CD4_cluster1) expressing SELL, TCF7, LEF1, and CCR7 genes or tissue-resident memory T cells (TRM, CD4_clusters3, 5, 6) expressing NR4A1, MYADM, and PTGER4 genes were abundant in most samples.	data/biorxiv/meca/96c0ca44-7598-1014-bd6e-c97aae1f298a/manuscript.md	76	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	TREG.1	TCF7; CCR7; LEF1; SELL		immune-suppressive-barrier study	Treg.1 showed elevated expression of naïve markers (LEF1, SELL, CCR7, and TCF7), Treg.2 showed elevated expression of suppressive markers (FOXP3, CTLA4, TIGIT, PDCD1/PD1, HAVCR2/TIM3, ICOS, LAG3), and Treg.3 displayed an intermediate phenotype (Supplementary Fig. 3.7b).	data/biorxiv/meca/e2efdcad-73c4-1014-9c6c-8a89f519fd2d/manuscript.md	78	central memory label versus Treg subtype with naive-like features	CCR7/SELL/TCF7/LEF1 bridge memory/naive state and Treg subtype naming.	immune-checkpoint/tumor-signature study versus immune-suppressive-barrier study	TCM vs TREG.1	P06
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Shared naive-like state; Treg identity differs TN abbreviation versus Treg subtype with naive markers	TN and Treg.1 share naive markers. The name difference reflects lineage/state layering: Treg.1 remains a regulatory cluster but carries a naive-like transcriptional program.		1.0	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	TN	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		immune-checkpoint/tumor-signature study	In the CD4+ T cell compartment, naïve-like T cells (TN, CD4_cluster0) and central memory T cells (TCM, CD4_cluster1) expressing SELL, TCF7, LEF1, and CCR7 genes or tissue-resident memory T cells (TRM, CD4_clusters3, 5, 6) expressing NR4A1, MYADM, and PTGER4 genes were abundant in most samples.	data/biorxiv/meca/96c0ca44-7598-1014-bd6e-c97aae1f298a/manuscript.md	76	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	TREG.1	TCF7; CCR7; LEF1; SELL		immune-suppressive-barrier study	Treg.1 showed elevated expression of naïve markers (LEF1, SELL, CCR7, and TCF7), Treg.2 showed elevated expression of suppressive markers (FOXP3, CTLA4, TIGIT, PDCD1/PD1, HAVCR2/TIM3, ICOS, LAG3), and Treg.3 displayed an intermediate phenotype (Supplementary Fig. 3.7b).	data/biorxiv/meca/e2efdcad-73c4-1014-9c6c-8a89f519fd2d/manuscript.md	78	TN abbreviation versus Treg subtype with naive markers	CCR7/SELL/TCF7/LEF1 drive the match despite different regulatory-lineage meaning.	immune-checkpoint/tumor-signature study versus immune-suppressive-barrier study	TN vs TREG.1	P07
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Shared naive/memory state across Treg and broader T-cell group Treg subtype versus grouped naive/memory annotation	Treg.1 and naive/memory clusters share CCR7/SELL/TCF7/LEF1. This is a state-program bridge between a Treg subtype and broader naive/memory annotation.		1.0	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	TREG.1	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		immune-suppressive-barrier study	Treg.1 showed elevated expression of naïve markers (LEF1, SELL, CCR7, and TCF7), Treg.2 showed elevated expression of suppressive markers (FOXP3, CTLA4, TIGIT, PDCD1/PD1, HAVCR2/TIM3, ICOS, LAG3), and Treg.3 displayed an intermediate phenotype (Supplementary Fig. 3.7b).	data/biorxiv/meca/e2efdcad-73c4-1014-9c6c-8a89f519fd2d/manuscript.md	78	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	Heterogeneity and clonal relationships of adaptive immune cells in ulcerative colitis revealed by single-cell analyses.	NAÏVE/MEMORY	TCF7; CCR7; LEF1; SELL		ulcerative-colitis adaptive immune-cell atlas	Seven clusters (T3, T4, T6, T9, T11, T12, and T17) with high expression of SELL (CD62L), CCR7, LEF1 , and TCF7 expression were annotated as naïve/memory.	data/hca/manuscripts/0163_10.1126_sciimmunol.abb4432_91494cf647/manuscript.md	207	Treg subtype versus grouped naive/memory annotation	CCR7/SELL/TCF7/LEF1 link a Treg subtype to a naive/memory state program.	immune-suppressive-barrier study versus ulcerative-colitis adaptive immune-cell atlas	TREG.1 vs NAÏVE/MEMORY	P08
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	broadMatch	Paper 2 label is broader than Paper 1 label. Same epithelial lineage with malignant context difference disease/tumor-context label versus broad epithelial label	Carcinoma cell and epithelial cell share epithelial markers EPCAM/KRT8/KRT18. The key context difference is malignant epithelial tumor compartment versus broad epithelial lineage.		1.0	hca:0032_10.15252_msb.20209682_ea064ade0e	A single cell atlas of the human liver tumor microenvironment	CARCINOMA CELL	KRT18; EPCAM; KRT8	KRT18; EPCAM; KRT8		liver tumor microenvironment	Cells from the malignant liver sites included carcinoma cells, marked by KRT8, KRT18, and EPCAM (Puram et al , 2017 ; Fig 1B ) and diverse TME cell populations, including fibroblasts, endothelial cells, and immune cells (Fig 1C ).	data/hca/manuscripts/0032_10.15252_msb.20209682_ea064ade0e/manuscript.md	20	hca:0068_10.1093_ibd_izac201_351dddd961	Assessing Cellular and Transcriptional Diversity of Ileal Mucosa Among Treatment-Naïve and Treated Crohn's Disease	EPITHELIAL CELL	KRT18; EPCAM; KRT8		ileal mucosa inflammatory disease study	Epithelial cells were subdivided into 9 cell types with the shared expression of EPCAM , KRT8 , and KRT18 expression in both control subjects and CD patients.	data/hca/manuscripts/0068_10.1093_ibd_izac201_351dddd961/manuscript.md	40	disease/tumor-context label versus broad epithelial label	EPCAM/KRT8/KRT18 identify epithelial lineage; carcinoma label adds malignancy.	liver tumor microenvironment versus ileal mucosa inflammatory disease study	CARCINOMA CELL vs EPITHELIAL CELL	P09
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	broadMatch	Paper 2 label is broader than Paper 1 label. Same epithelial lineage with malignant context difference carcinoma label versus epithelial lineage label	Carcinoma cell and epithelial cell again share epithelial markers; the relationship is malignant context versus canonical epithelial annotation.		1.0	hca:0032_10.15252_msb.20209682_ea064ade0e	A single cell atlas of the human liver tumor microenvironment	CARCINOMA CELL	KRT18; EPCAM; KRT8	KRT18; EPCAM; KRT8		liver tumor microenvironment	Cells from the malignant liver sites included carcinoma cells, marked by KRT8, KRT18, and EPCAM (Puram et al , 2017 ; Fig 1B ) and diverse TME cell populations, including fibroblasts, endothelial cells, and immune cells (Fig 1C ).	data/hca/manuscripts/0032_10.15252_msb.20209682_ea064ade0e/manuscript.md	20	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	Refining colorectal cancer classification and clinical stratification through a single-cell atlas	EPITHELIAL CELL	KRT18; EPCAM; KRT8		colorectal cancer stratification study	Graph-based clustering of merged and normalized cells identified robust, discrete clusters of epithelial cells ( EPCAM+ , KRT8+ , and KRT18+ ), fibroblasts ( COL1A1+ ), endothelial cells ( CLDN5+ ), T cells ( CD3D+ ), B cells (CD79A+ ), and myeloid cells ( LYZ+ ) based on canonical marker genes (Fig. 1 B).	data/hca/manuscripts/0264_10.1186_s13059-022-02677-z_ec9d743757/manuscript.md	18	carcinoma label versus epithelial lineage label	EPCAM/KRT8/KRT18 mark epithelial cells; tumor context drives carcinoma naming.	liver tumor microenvironment versus colorectal cancer stratification study	CARCINOMA CELL vs EPITHELIAL CELL	P10
