poster_label	normalized_prompt_label	label_type	atlas_match_rule	example_atlas_labels	notes
Naive T cell	NAIVE T CELL	exact	exact_normalized	naive T cell	Direct atlas label after normalization.
Central memory T	CENTRAL MEMORY T	bucket	token_or_plural_match	central memory T cells; CD8 + T central memory; central memory T (Tcm) cells	Poster prompt is singular/short; atlas uses plural or CD4/CD8-specific labels.
Effector memory T	EFFECTOR MEMORY T	bucket	token_match	CD4+ effector memory T cells; CD8+ effector memory T cells (TEM); effector memory CD4+ T cells	Collects CD4/CD8 effector memory variants.
Tissue resident T	TISSUE RESIDENT T	bucket	token_match	CD4+ tissue resident memory T cells (TRM); tissue-resident memory T cells; tissue resident memory T (Trm) cells	Collects TRM/tissue-resident memory variants.
Effector CD8 T	EFFECTOR CD 8 T	bucket	token_match	effector CD8 + T cells; CD38++CD8+ effector T-cell; CD8+ effector memory T cells (TEM)	Collects CD8 effector variants.
Cytotoxic T cell	CYTOTOXIC T CELL	exact	exact_normalized	cytotoxic T cell	Direct atlas label after normalization.
Exhausted T cell	EXHAUSTED T CELL	bucket	token_match	exhausted CD8 + T cells; CD8+ exhausted T cells (TEXH); Exhausted T-cell, T-regulatory Cell	Collects exhaustion labels, often CD8- or Treg-qualified.
Pre-exhausted T	PRE EXHAUSTED T	expert_prompt	token_match	exhausted CD8 + T cells; CD8+ exhausted T cells (TEXH); CD8+ proliferating exhausted T cells	Use to capture expert expectation around pre-exhaustion even when explicit atlas labels differ.
Terminally exhausted T	TERMINALLY EXHAUSTED T	expert_prompt	token_match	exhausted CD8 + T cells; CD8+ exhausted T cells (TEXH); CD8+ proliferating exhausted T cells	Use to capture terminal exhaustion expectations; exact atlas label absent in current corpus.
Dysfunc. T	DYSFUNC T	expert_prompt	manual_review		Abbreviated expert prompt; map manually to dysfunction/dysfunctional T labels if responses require it.
Proliferating T	PROLIFERATING T	bucket	token_match	Proliferating T cells; CD8+ proliferating exhausted T cells; CD8+ proliferating T cells	Collects proliferating T variants.
Stem-like T cell	STEM LIKE T CELL	expert_prompt	token_match	naive T cells/stem cell memory T cells; stem-like T cell; T cell	Use to capture stem-like T-cell expectations; exact corpus support is variable.
Regulatory T cell	REGULATORY T CELL	bucket	token_match	regulatory T cells; regulatory T cell (Treg); Treg	Collects Treg/regulatory T-cell variants.
Activated Treg	ACTIVATED TREG	bucket	token_match	activated Treg; Treg; activated	Collects activated Treg variants and related Treg profiles.
Naive-like Treg	NAIVE LIKE TREG	expert_prompt	token_match	naive-like T cells; T CM/naive-like-I; Treg	Use to capture expert expectations around naive-like Treg states.
Follicular helper T	FOLLICULAR HELPER T	bucket	token_match	T follicular helper (Tfh) cells; CD4+ follicular helper like T cells (TFH-like); follicular helper T cells	Collects Tfh variants.
Th1	TH 1	exact	exact_normalized	Th1	Direct atlas label after normalization.
Th2	TH 2	exact	exact_normalized	Th2	Direct atlas label after normalization.
Th17	TH 17	exact	exact_normalized	Th17	Direct atlas label after normalization.
Gamma delta T	GAMMA DELTA T	bucket	token_match	gamma-delta T cells; Gamma delta cells; delta	Collects gamma delta T variants.
MAIT	MAIT	exact	exact_normalized	MAIT	Direct atlas label after normalization.
Natural killer cell	NATURAL KILLER CELL	bucket	token_match	natural killer (NK) cells; natural killer (NK) cell clusters; NK cell	Collects NK/natural-killer variants.
NKT cell	NKT CELL	bucket	token_match	NKT cells; natural killer T (NKT) cell; NK-like T cell	Collects NKT/natural-killer T variants.
T/NK cell	T NK CELL	exact	exact_normalized	T/NK cell	Direct atlas label after normalization.
B cell	B CELL	exact	exact_normalized	B cell; B-cell	Direct atlas label after normalization.
Naive B cell	NAIVE B CELL	exact	exact_normalized	naive B cell	Direct atlas label after normalization.
Memory B cell	MEMORY B CELL	exact	exact_normalized	memory B cell	Direct atlas label after normalization.
Plasma cell	PLASMA CELL	exact	exact_normalized	plasma cell	Direct atlas label after normalization.
Plasmablast	PLASMABLAST	exact	exact_normalized	plasmablast	Direct atlas label after normalization.
CD14+ monocyte	CD 14 MONOCYTE	exact	exact_normalized	CD14+ monocyte; CD14 + Monocyte	Direct atlas label after normalization.
CD16+ monocyte	CD 16 MONOCYTE	exact	exact_normalized	CD16+ monocyte	Direct atlas label after normalization.
Classical monocyte	CLASSICAL MONOCYTE	exact	exact_normalized	classical monocyte	Direct atlas label after normalization.
Non-classical monocyte	NON CLASSICAL MONOCYTE	exact	exact_normalized	non-classical monocyte	Direct atlas label after normalization.
Inflammatory monocyte	INFLAMMATORY MONOCYTE	bucket	token_match	CD14 high CD16 high inflammatory monocytes; inflammatory monocytes; monocyte	Collects inflammatory monocyte variants; exact singular label absent.
Neutrophil	NEUTROPHIL	bucket	token_match	neutrophil granulocytes; Neutrophil cluster; monocyte/neutrophil	Collects neutrophil variants; exact atlas label absent in current filtered corpus.
Mast cell	MAST CELL	exact	exact_normalized	mast cell	Direct atlas label after normalization.
Macrophage	MACROPHAGE	exact	exact_normalized	macrophage	Direct atlas label after normalization.
Inflammatory mac.	INFLAMMATORY MAC	bucket	token_match	inflammatory macrophages; inflammatory; MAC	Abbreviated display label; map to inflammatory macrophage variants.
Tissue resident mac.	TISSUE RESIDENT MAC	bucket	token_match	tissue resident macrophages	Abbreviated display label; map to tissue-resident macrophage variants.
Alveolar macrophage	ALVEOLAR MACROPHAGE	exact	exact_normalized	alveolar macrophage	Direct atlas label after normalization.
Kupffer cell	KUPFFER CELL	exact	exact_normalized	Kupffer cell	Direct atlas label after normalization.
Microglia	MICROGLIA	exact	exact_normalized	microglia; Microglia	Direct atlas label after normalization.
Dendritic cell	DENDRITIC CELL	exact	exact_normalized	dendritic cell	Direct atlas label after normalization.
cDC1	CDC 1	exact	exact_normalized	cDC1	Direct atlas label after normalization.
cDC2	CDC 2	exact	exact_normalized	cDC2	Direct atlas label after normalization.
pDC	PDC	exact	exact_normalized	pDC	Direct atlas label after normalization.
Langerhans cell	LANGERHANS CELL	exact	exact_normalized	Langerhans cell	Direct atlas label after normalization.
Megakary.	MEGAKARY	expert_prompt	manual_review		Abbreviated expert prompt; exact atlas match absent under this normalization, but may map to megakaryocyte variants after manual review.
