collection	common_cl_id	common_cl_label	doi	gene_names	label_cl_id	label_cl_label	label_confidence	label_rationale	marker_cl_id	marker_cl_label	marker_confidence	marker_rationale	ontology_relation	paper_id	profile_id	reported_label	title	year
biorxiv	CL:0020031	CD8-positive exhausted alpha-beta T cell	10.1101/2025.11.27.690370	"[""PDCD1"", ""LAG3"", ""HAVCR2""]"	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'CD8+ EXHAUSTED T CELL (TEXH)' and markers (PDCD1, LAG3, HAVCR2) precisely match the definition of CD8-positive exhausted alpha-beta T cells characterized by sustained PD-1 expression and impaired function.	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The markers PDCD1 (PD-1), LAG3, and HAVCR2 (TIM-3) are canonical exhaustion markers, and the paper describes CD8+ T cells with intermediate and terminal exhaustion in ESCC tumors.	same_term	14	213	CD8+ EXHAUSTED T CELL (TEXH)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
biorxiv	CL:4047053	TREM2-positive macrophage	10.1101/2025.11.27.690370	"[""TREM2"", ""APOE"", ""C1QA"", ""SPP1""]"	CL:4047053	TREM2-positive macrophage	high	The reported label 'TREM2HIGH MACROPHAGE' and marker genes (TREM2, APOE, C1QA) directly match the definition of TREM2-positive macrophage characterized by high TREM2 expression in tumor microenvironments.	CL:4047053	TREM2-positive macrophage	high	The marker profile with TREM2, APOE, C1QA, and SPP1 precisely matches the TREM2-positive macrophage definition, which is characterized by high TREM2 expression and found in tumor microenvironments.	same_term	14	243	TREM2HIGH MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
biorxiv	CL:0000235	macrophage	10.1101/2025.11.27.690370	"[""APOE"", ""C1QA"", ""C1QC""]"	CL:0000235	macrophage	high	TREM2LOW macrophages are a subtype of macrophages with low TREM2 expression but expressing typical macrophage markers (APOE, C1QA, C1QC), best mapped to the general macrophage term since no specific TREM2-low term exists.	CL:0000235	macrophage	high	The marker genes APOE, C1QA, and C1QC are canonical macrophage markers, particularly characteristic of tumor-associated macrophages in the tumor microenvironment.	same_term	14	244	TREM2LOW	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
biorxiv	CL:0011025	exhausted T cell	10.1101/2022.08.19.504494	"[""PDCD1"", ""TOX"", ""CXCL13""]"	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'EXHAUSTED CD8 T CELL' with markers PDCD1, TOX, and CXCL13 directly matches the definition of CD8-positive exhausted alpha-beta T cell characterized by sustained PD-1 expression.	CL:0011025	exhausted T cell	high	PDCD1 (PD-1), TOX, and CXCL13 are canonical markers of T cell exhaustion.	marker_is_ancestor	236	1829	EXHAUSTED CD8 T CELL	CausalCell: applying causal discovery to single-cell analyses	2022
biorxiv	CL:4047053	TREM2-positive macrophage	10.1101/2022.08.19.504494	"[""CD74"", ""TREM2"", ""TYROBP"", ""A2M"", ""APOE"", ""APOC1"", ""C1QA"", ""C1QB"", ""C1QC""]"	CL:4047053	TREM2-positive macrophage	high	The marker genes include TREM2 as a key feature, and the context describes macrophages in glioblastoma with TREM2→A2M→APOE→APOC1 cascade, matching the TREM2-positive macrophage definition found in tumor microenvironments.	CL:4047053	TREM2-positive macrophage	high	The marker profile shows high expression of TREM2, TYROBP (DAP12, TREM2's signaling partner), and macrophage markers (CD74, C1QA/B/C, APOE, APOC1, A2M), which precisely matches the TREM2-positive macrophage definition.	same_term	236	1830	MACROPHAGE	CausalCell: applying causal discovery to single-cell analyses	2022
biorxiv	CL:0002419	mature T cell	10.1101/2023.05.23.541821	"[""CCR7"", ""SELL"", ""IL7R"", ""TCF7""]"	CL:0000898	naive T cell	high	The marker profile CCR7+SELL+IL7R+TCF7+ matches the naive T cell phenotype (CCR7-positive, CD127/IL7R-positive), though the reported label also includes central memory T cells which share similar markers.	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The marker profile (CCR7, SELL, IL7R, TCF7) and paper context about CD45RA-negative naive/central memory T cells precisely matches the central memory CD4+ T cell phenotype which is CCR7-positive, CD45RA-negative, CD45RO-positive.	shared_parent	241	1861	NAIVE T CELLS OR TCMS	Enhanced Annotation of CD45RA to Distinguish T cell Subsets in Single Cell RNA-seq via Machine Learning	2023
biorxiv	CL:0000904	central memory CD4-positive, alpha-beta T cell	10.1101/2024.04.15.589544	"[""SELL"", ""TCF7"", ""LEF1"", ""CCR7""]"	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The reported label 'TCM' (central memory T cells) with markers SELL, TCF7, LEF1, and CCR7 precisely matches the definition of central memory CD4-positive, alpha-beta T cells which are characterized by CCR7-positive phenotype.	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The markers SELL, TCF7, LEF1, and CCR7 are characteristic of central memory T cells, which express CCR7 and lymphoid homing markers.	same_term	300	2264	TCM	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	CL:0020031	CD8-positive exhausted alpha-beta T cell	10.1101/2024.04.15.589544	"[""HAVCR2"", ""PDCD1"", ""PRF1"", ""IFNG"", ""CXCR3"", ""CXCL13""]"	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'TEX' refers to exhausted T cells expressing CD8 markers (CD8_clusters1, 12), checkpoint genes (HAVCR2/PDCD1), and cytotoxic markers (PRF1, IFNG), matching the CD8-positive exhausted T cell definition.	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The marker profile shows HAVCR2, PDCD1 (exhaustion markers), PRF1, IFNG (cytotoxic/effector markers), and CXCR3, CXCL13 which are characteristic of exhausted CD8+ T cells in the tumor microenvironment.	same_term	300	2268	TEX	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	CL:0000624	CD4-positive, alpha-beta T cell	10.1101/2024.04.15.589544	"[""SELL"", ""TCF7"", ""LEF1"", ""CCR7""]"	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	high	The reported label 'TN' refers to naive-like CD4+ T cells expressing SELL, TCF7, LEF1, and CCR7, which precisely matches the phenotype of naive CD4+ T cells (CCR7-positive, CD62L-high).	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The markers SELL, TCF7, LEF1, and CCR7 are characteristic of central memory T cells, which express CCR7 and lymphoid homing markers.	shared_parent	300	2269	TN	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	CL:0000624	CD4-positive, alpha-beta T cell	10.1101/2024.12.31.630523	"[""LEF1"", ""SELL"", ""CCR7"", ""TCF7""]"	CL:0002677	naive regulatory T cell	high	The marker genes LEF1, SELL, CCR7, and TCF7 are classic naive T cell markers, and the source text explicitly describes this as a Treg population with elevated expression of naive markers.	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The marker genes LEF1, SELL, CCR7, and TCF7 are canonical markers of central memory T cells, with CCR7 being the defining marker for central memory CD4+ T cells.	shared_parent	455	3499	TREG.1	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025
