term_type	curie	observed_label	current_exact	semantic_exact	match_source	canonical_label	exact_synonyms	obsolete
celltype	CL:0000015	male germ cell	1	1	canonical	male germ cell		0
celltype	CL:0000017	spermatocyte	1	1	canonical	spermatocyte		0
celltype	CL:0000018	spermatid	1	1	canonical	spermatid	nematoblast	0
celltype	CL:0000023	oocyte	1	1	canonical	oocyte		0
celltype	CL:0000023	primordial oocyte	0	0	none	oocyte		0
celltype	CL:0000030	glioblast	1	1	canonical	glioblast		0
celltype	CL:0000031	cycling neuroblast	0	0	none	neuroblast (sensu Vertebrata)	neuroblast	0
celltype	CL:0000031	early neuroblast	0	0	none	neuroblast (sensu Vertebrata)	neuroblast	0
celltype	CL:0000031	late GABAergic neuroblast	0	0	none	neuroblast (sensu Vertebrata)	neuroblast	0
celltype	CL:0000031	late neuroblast	0	0	none	neuroblast (sensu Vertebrata)	neuroblast	0
celltype	CL:0000031	neuroblast	1	1	exact_synonym	neuroblast (sensu Vertebrata)	neuroblast	0
celltype	CL:0000031	sympathetic neuroblast	0	0	none	neuroblast (sensu Vertebrata)	neuroblast	0
celltype	CL:0000034	CD34-positive stem cell	0	0	none	stem cell		0
celltype	CL:0000034	FOXN1-positive thymic epithelial progenitor cell	0	0	none	stem cell		0
celltype	CL:0000034	LBT003 glioblastoma stem cell	0	0	none	stem cell		0
celltype	CL:0000034	adipose stem cell	0	0	none	stem cell		0
celltype	CL:0000034	alveolar epithelial progenitor	0	0	none	stem cell		0
celltype	CL:0000034	alveolar epithelial progenitor cell	0	0	none	stem cell		0
celltype	CL:0000034	basal proliferative epithelial progenitor cell	0	0	none	stem cell		0
celltype	CL:0000034	basal stem cell	0	0	none	stem cell		0
celltype	CL:0000034	basal stem cell cluster BAS-I	0	0	none	stem cell		0
celltype	CL:0000034	basal stem cell cluster BAS-II	0	0	none	stem cell		0
celltype	CL:0000034	basal stem cell cluster BAS-III	0	0	none	stem cell		0
celltype	CL:0000034	basal stem cell cluster BAS-IV	0	0	none	stem cell		0
celltype	CL:0000034	basal stem cell subpopulation kBAS-I	0	0	none	stem cell		0
celltype	CL:0000034	basal stem cell subpopulation kBAS-II	0	0	none	stem cell		0
celltype	CL:0000034	basal/stem cell	0	0	none	stem cell		0
celltype	CL:0000034	basal/stem cell cluster 5	0	0	none	stem cell		0
celltype	CL:0000034	basal/stem cell cluster 7	0	0	none	stem cell		0
celltype	CL:0000034	basal/stem cell cluster 9	0	0	none	stem cell		0
celltype	CL:0000034	colon adenoma stem cell	0	0	none	stem cell		0
celltype	CL:0000034	committing pituitary stem cell	0	0	none	stem cell		0
celltype	CL:0000034	committing stem cell	0	0	none	stem cell		0
celltype	CL:0000034	corneal stromal stem cell	0	0	none	stem cell		0
celltype	CL:0000034	glioblastoma stem cell	0	0	none	stem cell		0
celltype	CL:0000034	hematopoietic-derived stem cell	0	0	none	stem cell		0
celltype	CL:0000034	human tendon-derived stem cell	0	0	none	stem cell		0
celltype	CL:0000034	metaplastic stem cell	0	0	none	stem cell		0
celltype	CL:0000034	pituitary stem cell	0	0	none	stem cell		0
celltype	CL:0000034	proliferative stem cell	0	0	none	stem cell		0
celltype	CL:0000034	small intestine stem cell	0	0	none	stem cell		0
celltype	CL:0000034	stem cell	1	1	canonical	stem cell		0
celltype	CL:0000034	stem cell 3	0	0	none	stem cell		0
celltype	CL:0000034	tendon-derived stem cell	0	0	none	stem cell		0
celltype	CL:0000034	tissue stem cell	0	0	none	stem cell		0
celltype	CL:0000034	uncommitted pituitary stem cell	0	0	none	stem cell		0
celltype	CL:0000036	colon epithelial stem cell	0	0	none	epithelial fate stem cell	epithelial stem cell	0
celltype	CL:0000036	dental epithelial stem cell	0	0	none	epithelial fate stem cell	epithelial stem cell	0
celltype	CL:0000036	epithelial stem cell	1	1	exact_synonym	epithelial fate stem cell	epithelial stem cell	0
celltype	CL:0000037	CD38-positive hematopoietic stem cell	0	0	none	hematopoietic stem cell	blood forming stem cell | hemopoietic stem cell	0
celltype	CL:0000037	expanded early hematopoietic stem cell and multipotent progenitor	0	0	none	hematopoietic stem cell	blood forming stem cell | hemopoietic stem cell	0
celltype	CL:0000037	hematopoietic progenitor cell	1	0	none	hematopoietic stem cell	blood forming stem cell | hemopoietic stem cell	0
celltype	CL:0000037	hematopoietic stem cell	1	1	canonical	hematopoietic stem cell	blood forming stem cell | hemopoietic stem cell	0
celltype	CL:0000038	committed erythroid progenitor	0	0	none	erythroid progenitor cell		0
celltype	CL:0000038	early erythroid progenitor	0	0	none	erythroid progenitor cell		0
celltype	CL:0000038	erythroid progenitor	1	0	none	erythroid progenitor cell		0
celltype	CL:0000038	erythroid progenitor (colony-forming unit-erythroid)	0	0	none	erythroid progenitor cell		0
celltype	CL:0000038	erythroid-biased megakaryocyte-erythroid progenitor	0	0	none	erythroid progenitor cell		0
celltype	CL:0000038	megakaryocyte-biased megakaryocyte-erythroid progenitor	0	0	none	erythroid progenitor cell		0
celltype	CL:0000038	megakaryocyte-erythroid progenitor	0	0	none	erythroid progenitor cell		0
celltype	CL:0000047	G1 neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	G2/M phase neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	Late G1 neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	M/Early G1 phase neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	Neural G0 neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	S phase neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	S/G2 phase neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	neural progenitor cell	1	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	neural stem cell	1	1	canonical	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000047	quiescent neural stem cell	0	0	none	neural stem cell	NSC | neuronal stem cell	0
celltype	CL:0000049	common myeloid progenitor	1	1	canonical	common myeloid progenitor	common myeloid precursor	0
celltype	CL:0000049	early myeloid progenitor	0	0	none	common myeloid progenitor	common myeloid precursor	0
celltype	CL:0000049	lympho-myeloid progenitor	0	0	none	common myeloid progenitor	common myeloid precursor	0
celltype	CL:0000049	myeloid progenitor	1	0	none	common myeloid progenitor	common myeloid precursor	0
celltype	CL:0000049	neutrophil-myeloid progenitor	0	0	none	common myeloid progenitor	common myeloid precursor	0
celltype	CL:0000051	common lymphoid progenitor	1	1	canonical	common lymphoid progenitor	common lymphocyte precursor | common lymphocyte progenitor | common lymphoid precursor	0
celltype	CL:0000051	multi-lymphoid progenitor	1	0	none	common lymphoid progenitor	common lymphocyte precursor | common lymphocyte progenitor | common lymphoid precursor	0
celltype	CL:0000056	differentiated muscle stem cell/myoblast/myocyte	0	0	none	myoblast		0
celltype	CL:0000056	myoblast group 1	0	0	none	myoblast		0
celltype	CL:0000056	myoblast-like cell	0	0	none	myoblast		0
celltype	CL:0000057	ABCA10 hi fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	ABI3BP GAS2 Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	ADAM12 hi fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	APOD-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CCL11+ fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CCL19-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CD34 lineage fibroblast cluster 1	0	0	none	fibroblast		0
celltype	CL:0000057	CD34 lineage fibroblast cluster 2	0	0	none	fibroblast		0
celltype	CL:0000057	CD34 lineage fibroblast cluster 8	0	0	none	fibroblast		0
