review_resolution_class	review_confidence	shared_program_summary	marker_difference_summary	context_resolution_summary	pairwise_assessment	followup_flag	review_priority	source_corpus	neighbor_source_corpus	same_corpus	corpus_pair	cell_type	paper_key_1	paper_key_2	manuscript_1	manuscript_2	top_label_neighbor_cosine	top_label_neighbor_marker_jaccard	top_label_neighbor_tie_count	n_markers_1	n_markers_2	n_shared	n_union	marker_names_1	marker_names_2	marker_ids_1	marker_ids_2	shared_markers	unique_markers_1	unique_markers_2	shared_marker_ids	unique_marker_ids_1	unique_marker_ids_2	context_1	context_2	n_rationale_snippets_1	n_rationale_snippets_2
same_entity_reporting_detail	high	Shared DN2/ABC-like B-cell program anchored by BLIMP1, FCRL5, TLR7, and TRAF5.	Paper 1 adds T-BET, a DN2/ABC-associated transcription-factor marker.	Both source snippets explicitly describe DN2 cells; the difference is an added DN2-associated regulator, not a different cell type.	Same DN2 program with one paper reporting an extra DN2-associated regulatory marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	DN2 CELL	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	hca:0134_10.3389_fimmu.2021.636720_9a958ecc4e	data/biorxiv/meca/9f9eded3-6d6e-1014-996d-af8f6f192d54/manuscript.md	data/hca/manuscripts/0134_10.3389_fimmu.2021.636720_9a958ecc4e/manuscript.md	1.000000238418579	0.8	1	5	4	4	5	PRDM1;TBX21;TRAF5;FCRL5;TLR7	PRDM1;TRAF5;FCRL5;TLR7	ENSG00000057657;ENSG00000073861;ENSG00000082512;ENSG00000143297;ENSG00000196664	ENSG00000057657;ENSG00000082512;ENSG00000143297;ENSG00000196664	PRDM1;TRAF5;FCRL5;TLR7	TBX21		ENSG00000057657;ENSG00000082512;ENSG00000143297;ENSG00000196664	ENSG00000073861		Cluster 0 cells expressed genes associated with age-associated B cells (ABC) (38–40) and DN2 cells (41) (e.g., TLR7, PRDM1, ITGAX/CD11c and TBX21/T-bet). Cluster 3 cells expressed additional markers associated with DN2 cells, such as FCRL5 and TRAF5, but lacked the expression of TLR7, ITGAX, and TBX21.	Cluster 0 cells expressed genes associated with age-associated B cells (ABC) ( 38 – 40 ) and DN2 cells ( 41 ) (e.g., TLR7, PRDM1, TGAX/ CD11c and TBX2 1/T-bet). Cluster 3 cells expressed additional markers associated with DN2 cells, such as FCRL5 and TRAF5 , but lacked the expression of TLR7, ITGAX , and TBX21 .	2	2
same_entity_reporting_detail	high	Shared intestinal stem-cell program anchored by LGR5, OLFM4, RGMB, and SMOC2.	Paper 2 adds ASCL2, a canonical intestinal stem-cell marker.	Both snippets describe intestinal stem cells directly; ASCL2 extends the marker list rather than changing the cell-type meaning.	Same stem-cell identity with one paper reporting a more complete canonical marker set.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	STEM CELL	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36	data/biorxiv/meca/8bff4e38-6c13-1014-bcce-e068e3eafd28/manuscript.md	data/hca/manuscripts/0090_10.1038_s41586-021-03852-1_eec89a5e36/manuscript.md	0.9999998807907104	0.8	6	4	5	4	5	OLFM4;SMOC2;LGR5;RGMB	OLFM4;SMOC2;LGR5;RGMB;ASCL2	ENSG00000102837;ENSG00000112562;ENSG00000139292;ENSG00000174136	ENSG00000102837;ENSG00000112562;ENSG00000139292;ENSG00000174136;ENSG00000183734	OLFM4;SMOC2;LGR5;RGMB		ASCL2	ENSG00000102837;ENSG00000112562;ENSG00000139292;ENSG00000174136		ENSG00000183734	We identified two distinct clusters of stem cells (SC1 and SC2) marked by the expression of classical stem cell markers LGR5, OLFM4, RGMB, and SMOC2 (Fig. 6A, B).	( EPCAM -positive) shared between fetal, paediatric and adult datasets were stem cells ( LGR5 , ASCL2 , SMOC2 , RGMB , OLFM4 ), Paneth ( DEFA5 , DEFA6 , REG3A ), transit-amplifying (TA; MKI67 , TOP2A , PCNA ), goblet cells ( CLCA1 , SPDEF , FCGBP , ZG16 , MUC2 ), BEST4 enterocytes ( BEST4 , OTOP2 , CA7 ), enterocytes ( RBP2 , ANPEP , FABP2 ) and colonocytes ( CA2 , SLC26A2 , FABP1 ), enteroendocrine cells ( CHGA , CHGB , NEUROD1 ), Microfold cells ( SPIB , CCL20 , GP2 ), Tuft cells ( POU2F3 , LRMP (also known as IRAG2 ), TRPM5 ), BEST2 goblet cells were observed in adult colonic samples (Extended Data Fig. 5 ).	1	1
same_entity_reporting_detail	high	Shared intestinal stem-cell program anchored by LGR5, OLFM4, RGMB, and SMOC2.	Paper 2 adds ASCL2, a canonical intestinal stem-cell marker.	Both snippets describe intestinal stem cells directly; ASCL2 extends the marker list rather than changing the cell-type meaning.	Same stem-cell identity with one paper reporting a more complete canonical marker set.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	STEM CELL	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	data/biorxiv/meca/8bff4e38-6c13-1014-bcce-e068e3eafd28/manuscript.md	data/hca/manuscripts/0481_10.1016_j.immuni.2023.01.002_2da3d3f446/manuscript.md	0.9999998807907104	0.8	6	4	5	4	5	OLFM4;SMOC2;LGR5;RGMB	OLFM4;SMOC2;LGR5;RGMB;ASCL2	ENSG00000102837;ENSG00000112562;ENSG00000139292;ENSG00000174136	ENSG00000102837;ENSG00000112562;ENSG00000139292;ENSG00000174136;ENSG00000183734	OLFM4;SMOC2;LGR5;RGMB		ASCL2	ENSG00000102837;ENSG00000112562;ENSG00000139292;ENSG00000174136		ENSG00000183734	We identified two distinct clusters of stem cells (SC1 and SC2) marked by the expression of classical stem cell markers LGR5, OLFM4, RGMB, and SMOC2 (Fig. 6A, B).	Briefly, Epithelial cells were clustered into Enterocytes ( RBP2 , ANPEP , FABP2 ), Stem cells ( LGR5 , ASCL2 , SMOC2 , RGMB , OLFM4 ), Goblets ( CLCA1 , SPDEF , FCGBP , ZG16 , MUC2 ), Paneth cells ( DEFA5 , DEFA6 , REG3A ), Tuft cells ( LRMP, SH2D 6), Enteroendocrine cells ( CHGA, CHGB, NEUROD1 ) and Cycling cells ( UBE2C, TOP2A, MKI67, HMGB2 ).	1	1
same_entity_reporting_detail	high	Shared canonical B-cell program anchored by CD20/MS4A1, CD79A, and CD79B.	Paper 1 additionally reports CD19, another standard B-cell surface marker.	Both snippets use these genes to define broad B cells; the mismatch is marker-list completeness, not biology.	Same B-cell identity with one paper reporting an extra canonical B-cell surface marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	B CELL	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	hca:0100_10.1038_s41467-021-22804-x_e7667133b9	data/biorxiv/meca/307b2bd7-6cb9-1014-a6b4-a58a7220bba3/manuscript.md	data/hca/manuscripts/0100_10.1038_s41467-021-22804-x_e7667133b9/manuscript.md	1.0000003576278689	0.75	29	4	3	3	4	CD79B;CD79A;MS4A1;CD19	CD79B;CD79A;MS4A1	ENSG00000007312;ENSG00000105369;ENSG00000156738;ENSG00000177455	ENSG00000007312;ENSG00000105369;ENSG00000156738	CD79B;CD79A;MS4A1	CD19		ENSG00000007312;ENSG00000105369;ENSG00000156738	ENSG00000177455		Given that B lymphocyte antigen receptor genes CD79A, CD79B, and B lymphocyte cell surface antigens MS4A1, CD19 are grouped in module 10, we can infer that the cells in cell cluster 2, 3, and 4 are B cells (Figure 3b).	The marker genes used were CD79A , CD79B , MS4A1 (B cells); CD8A , CD8B , CD7 , CD3E (CD8+ T cells); CD4 , IL7R , CD7 , CD3E (CD4+ T cells); NKG7 , GNLY (NK cells); MZB1 , SDC1 , IGHG1 (Plasma cells); FCGR3A (Macrophages); CD14 , LYZ (Monocytes); FCER1A , CLEC10A (Dendritic cells); and AHSP1 , HBA , HBB (Erythrocytes).	1	1
same_entity_reporting_detail	high	Shared canonical B-cell program anchored by CD20/MS4A1, CD79A, and CD79B.	Paper 1 additionally reports CD19, another standard B-cell surface marker.	Both snippets use these genes to define broad B cells; the mismatch is marker-list completeness, not biology.	Same B-cell identity with one paper reporting an extra canonical B-cell surface marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	B CELL	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	hca:0184_10.1016_j.cell.2021.07.023_f621bea088	data/biorxiv/meca/307b2bd7-6cb9-1014-a6b4-a58a7220bba3/manuscript.md	data/hca/manuscripts/0184_10.1016_j.cell.2021.07.023_f621bea088/manuscript.md	1.0000003576278689	0.75	29	4	3	3	4	CD79B;CD79A;MS4A1;CD19	CD79B;CD79A;MS4A1	ENSG00000007312;ENSG00000105369;ENSG00000156738;ENSG00000177455	ENSG00000007312;ENSG00000105369;ENSG00000156738	CD79B;CD79A;MS4A1	CD19		ENSG00000007312;ENSG00000105369;ENSG00000156738	ENSG00000177455		Given that B lymphocyte antigen receptor genes CD79A, CD79B, and B lymphocyte cell surface antigens MS4A1, CD19 are grouped in module 10, we can infer that the cells in cell cluster 2, 3, and 4 are B cells (Figure 3b).	Among lymphoid cells, we recovered T cells ( CD3E, CD2, TRBC2 ) and B cells ( MS4A1, CD79A, CD79B ).	1	1
same_entity_reporting_detail	high	Shared ionocyte program anchored by ASCL3, CFTR, and FOXI1.	Paper 1 adds DMRT2 as an additional ionocyte-associated regulatory marker.	Both snippets explicitly describe ionocytes; the nonshared marker adds regulatory detail rather than a new label meaning.	Same ionocyte identity with one paper reporting an extra regulatory marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	IONOCYTE	biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d	hca:0132_10.1038_s41467-020-16239-z_001d78a35b	data/biorxiv/meca/cf0d429c-6c7f-1014-a5a8-f09b6915373d/manuscript.md	data/hca/manuscripts/0132_10.1038_s41467-020-16239-z_001d78a35b/manuscript.md	1.0000003576278689	0.75	1	4	3	3	4	CFTR;FOXI1;DMRT2;ASCL3	CFTR;FOXI1;ASCL3	ENSG00000001626;ENSG00000168269;ENSG00000173253;ENSG00000176009	ENSG00000001626;ENSG00000168269;ENSG00000176009	CFTR;FOXI1;ASCL3	DMRT2		ENSG00000001626;ENSG00000168269;ENSG00000176009	ENSG00000173253		Ionocytes were characterized by markers such as ASCL3 and CFTR (29) (Figure 3C), and we identified ASCL3, FOXI1 and DMRT2 as ionocyte-specific regulatory units (Figure E10A).	We also identified low abundance clusters containing cells expressing markers diagnostic for pulmonary neuroendocrine cells (PNECs and ASCL1 ) 16 , ionocytes ( FOXI1 ) 17 , 18 , or tuft cells ( POU2F3 ) 19 . Of these pairs, ionocytes and tuft-like cells shared 107 unique genes, 16% of which were transcriptional regulators, such as reported ionocyte TF, ASCL3 17 , 18 (Supplementary Table 2 ).	1	3
same_entity_reporting_detail	high	Shared mast-cell program anchored by KIT, TPSAB1, and TPSB2.	Paper 2 adds CPA3, another canonical mast-cell granule marker.	Both snippets define mast cells using standard mast-cell genes; CPA3 reflects a more complete canonical marker set.	Same mast-cell identity with one paper reporting an extra canonical mast-cell marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	MAST CELL	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	hca:0410_10.3389_fcell.2021.820274_b0973e038f	data/biorxiv/meca/03092aac-75a4-1014-b9cc-d44d468fbd97/manuscript.md	data/hca/manuscripts/0410_10.3389_fcell.2021.820274_b0973e038f/manuscript.md	1.000000238418579	0.75	14	3	4	3	4	KIT;TPSAB1;TPSB2	CPA3;KIT;TPSAB1;TPSB2	ENSG00000157404;ENSG00000172236;ENSG00000197253	ENSG00000128510;ENSG00000157404;ENSG00000172236;ENSG00000197253	KIT;TPSAB1;TPSB2		CPA3	ENSG00000157404;ENSG00000172236;ENSG00000197253		ENSG00000128510	We next profiled the myeloid landscape and identified nine transcriptionally distinct subsets among 35,236 cells, including monocytes (VCAN, APOBEC3A), TREM2low (APOE, C1QA, C1QC) and TREM2high macrophages (TREM2, APOE, C1QA), STRAD13⁺ macrophages (STARD13, CD163, MRC1), conventional dendritic cells (cDCs) (CD86, CD1C, CLEC10), CCR7⁺ DCs (CD86, CCR7), plasmacytoid DCs (pDCs) (PTCRA, CLEC4C), neutrophils (FCGR3B, S100A8), and mast cells (TPSAB1, TPSB2) (Figure 5a). Annotation was supported by the expression of canonical markers such as CD3E, IL7R for T cells, MS4A1, CD79A for B cells, IGHG4, JCHAIN for plasma cells, LYZ, CD68 for myeloid cells, TPSAB1, KIT for mast cells, EPCAM, KRT18 for epithelial cells, VWF, PECAM1 for endothelial cells, DCN, COL1A1 for fibroblasts, and MYL9, MYH11 for smooth muscle cells (Figure 1c and Figure S2).	We selected the marker genes from the published literature to identify the four types of immune cells, such as CD79A and CD27 for B cells ( Mason et al., 1995 ; Agematsu et al., 2000 ), TRAC, NKG7, and CD3D for T cells ( Ng et al., 2020 ; Stadtmauer et al., 2020 ; Wang Z. et al., 2021 ), CD14 and CD68 for monocytes ( Wright et al., 1990 ; Iqbal et al., 2014 ), and TPSB2, TPSAB1 and CPA3 for mast cells ( Alnaeeli et al., 2006 ; Merluzzi et al., 2015 ; Finlin et al., 2017 ; Wilcock et al., 2019 ). In immune cells, CD3, CD19, CD14, and CD117 were respectively marked for T cells, B cells, monocytes, and mast cells ( Figure 2 ).	2	2
same_entity_reporting_detail	high	Shared mast-cell program anchored by CPA3, TPSAB1, and TPSB2.	Paper 2 adds KIT/CD117, another canonical mast-cell surface marker.	Both snippets define mast cells using standard mast-cell genes; KIT reflects a more complete canonical marker set.	Same mast-cell identity with one paper reporting an extra canonical mast-cell marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	MAST CELL	biorxiv:db8af155-6c8b-1014-b5f3-cedb7b3b1723	hca:0410_10.3389_fcell.2021.820274_b0973e038f	data/biorxiv/meca/db8af155-6c8b-1014-b5f3-cedb7b3b1723/manuscript.md	data/hca/manuscripts/0410_10.3389_fcell.2021.820274_b0973e038f/manuscript.md	1.000000238418579	0.75	14	3	4	3	4	CPA3;TPSAB1;TPSB2	CPA3;KIT;TPSAB1;TPSB2	ENSG00000128510;ENSG00000172236;ENSG00000197253	ENSG00000128510;ENSG00000157404;ENSG00000172236;ENSG00000197253	CPA3;TPSAB1;TPSB2		KIT	ENSG00000128510;ENSG00000172236;ENSG00000197253		ENSG00000157404	We used the markers proposed in the (Lambrechts et al., 2018) study, but also added a few markers for mast cell (TPSAB1, TPSB2 and CPA3; (Dwyer et al., 2016) Table 1) (Fig. 1B).	We selected the marker genes from the published literature to identify the four types of immune cells, such as CD79A and CD27 for B cells ( Mason et al., 1995 ; Agematsu et al., 2000 ), TRAC, NKG7, and CD3D for T cells ( Ng et al., 2020 ; Stadtmauer et al., 2020 ; Wang Z. et al., 2021 ), CD14 and CD68 for monocytes ( Wright et al., 1990 ; Iqbal et al., 2014 ), and TPSB2, TPSAB1 and CPA3 for mast cells ( Alnaeeli et al., 2006 ; Merluzzi et al., 2015 ; Finlin et al., 2017 ; Wilcock et al., 2019 ). In immune cells, CD3, CD19, CD14, and CD117 were respectively marked for T cells, B cells, monocytes, and mast cells ( Figure 2 ).	1	2
same_entity_reporting_detail	high	Shared pan-T-cell program anchored by CD3D, CD3E, and CD3G.	Paper 2 adds LCK, a standard T-cell signaling gene.	Both snippets use these genes to define broad T cells; the difference is marker-list completeness.	Same T-cell identity with one paper reporting an extra canonical T-cell signaling marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	T CELL	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	hca:0418_10.1038_s42003-020-0922-4_8904851286	data/biorxiv/meca/1fa7b83f-6da7-1014-a69d-d257852e8dd1/manuscript.md	data/hca/manuscripts/0418_10.1038_s42003-020-0922-4_8904851286/manuscript.md	0.9999998211860656	0.75	37	3	4	3	4	CD3D;CD3E;CD3G	CD3D;LCK;CD3E;CD3G	ENSG00000167286;ENSG00000198851;ENSG00000289746	ENSG00000167286;ENSG00000182866;ENSG00000198851;ENSG00000289746	CD3D;CD3E;CD3G		LCK	ENSG00000167286;ENSG00000198851;ENSG00000289746		ENSG00000182866	To ensure a pure population of T cells, we calculated the proportion of T cells expressing CD3D, CD3E, or CD3G in each cluster generated from a graph-based clustering algorithm with default parameter settings (Waltman and Van Eck, 2013).	Gene expression signatures used for the definition of cell populations were: ACTA2 , RGS5 and PDGFRB (pericytes, clusters #8 and #10) 59 ; KRT5 , KRT14 , TP63 , ITGB1 , and ITGA6 (epidermal stem cells and other undifferentiated progenitors, clusters #7 and #15); KRT1 , KRT10 , SBSN , and KRTDAP (differentiated keratinocytes, cluster #5); PDGFRA , LUM , DCN , VIM , and COL1A2 (fibroblasts, clusters #1, #2, #3 and #9); AIF1 , LYZ , HLA-DRA , CD68 , and ITGAX (macrophages and dendritic cells (DC), clusters #0, #13 and #16) 60 ; CD3D , CD3G , CD3E , and LCK (T cells, cluster #6) 61 ; SELE , CLDN5 , VWF , and CDH5 (vascular endothelial cells, cluster #4) 62 ; PROX1 , CLDN5 , and LYVE1 (lymphatic endothelial cells, cluster #12) 63 ; HBA1 , HBA2 , and HBB (erythrocytes, cluster #11) 64 and PMEL , MLANA , TYRP1 , and DCT (melanocytes, cluster #14) 65 .	1	1
same_entity_reporting_detail	high	Shared pan-T-cell program anchored by CD3D, CD3E, and CD3G.	Paper 2 adds LCK, a standard T-cell signaling gene.	Both snippets use these genes to define broad T cells; the difference is marker-list completeness.	Same T-cell identity with one paper reporting an extra canonical T-cell signaling marker.		cross-corpus_high	biorxiv	hca	False	biorxiv__hca	T CELL	biorxiv:8e460cfc-7020-1014-9694-e5bf39316223	hca:0418_10.1038_s42003-020-0922-4_8904851286	data/biorxiv/meca/8e460cfc-7020-1014-9694-e5bf39316223/manuscript.md	data/hca/manuscripts/0418_10.1038_s42003-020-0922-4_8904851286/manuscript.md	0.9999998211860656	0.75	37	3	4	3	4	CD3D;CD3E;CD3G	CD3D;LCK;CD3E;CD3G	ENSG00000167286;ENSG00000198851;ENSG00000289746	ENSG00000167286;ENSG00000182866;ENSG00000198851;ENSG00000289746	CD3D;CD3E;CD3G		LCK	ENSG00000167286;ENSG00000198851;ENSG00000289746		ENSG00000182866	Genome browser view of DNA methylation levels at T cell marker genes CD3D, CD3E, and CD3G, which are hypomethylated in the T cell lineage and hypermethylated in other cell types.	Gene expression signatures used for the definition of cell populations were: ACTA2 , RGS5 and PDGFRB (pericytes, clusters #8 and #10) 59 ; KRT5 , KRT14 , TP63 , ITGB1 , and ITGA6 (epidermal stem cells and other undifferentiated progenitors, clusters #7 and #15); KRT1 , KRT10 , SBSN , and KRTDAP (differentiated keratinocytes, cluster #5); PDGFRA , LUM , DCN , VIM , and COL1A2 (fibroblasts, clusters #1, #2, #3 and #9); AIF1 , LYZ , HLA-DRA , CD68 , and ITGAX (macrophages and dendritic cells (DC), clusters #0, #13 and #16) 60 ; CD3D , CD3G , CD3E , and LCK (T cells, cluster #6) 61 ; SELE , CLDN5 , VWF , and CDH5 (vascular endothelial cells, cluster #4) 62 ; PROX1 , CLDN5 , and LYVE1 (lymphatic endothelial cells, cluster #12) 63 ; HBA1 , HBA2 , and HBB (erythrocytes, cluster #11) 64 and PMEL , MLANA , TYRP1 , and DCT (melanocytes, cluster #14) 65 .	1	1
