comparison	jaccard
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.3333333333333333
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.125
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.18181818181818182
Local: different names in same paper	0.16666666666666666
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.03333333333333333
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.037037037037037035
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	1.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.09090909090909091
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.09090909090909091
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.125
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.0
Local: different names in same paper	0.375
Local: different names in same paper	0.0
