study	source_type	rank
Emont	image	15
Emont	image	202
Emont	image	68
Emont	image	482
Emont	image	72
Emont	image	35
Emont	image	169
Emont	image	87
Emont	image	5
Emont	image	6
Emont	image	5
Emont	image	9
Emont	image	16
Emont	image	2
Emont	image	73
Emont	image	9
Emont	image	14
Emont	image	3
Emont	image	20
Emont	image	69
Emont	image	507
Emont	image	22
Emont	image	360
Emont	image	762
Emont	image	553
Emont	image	436
Emont	image	12
Emont	image	64
Emont	image	889
Emont	image	132
Emont	image	94
Emont	image	18
Emont	image	48
Emont	image	145
Emont	image	16
Emont	image	4
Emont	image	6
Emont	image	512
Emont	image	12
Emont	image	1622
Emont	image	12
Emont	image	442
Emont	image	15
Emont	image	215
Emont	image	1
Emont	image	8
Emont	image	120
Emont	image	59
Emont	image	25
Emont	image	1
Emont	image	254
Emont	image	14
Emont	image	324
Emont	image	142
Emont	image	1
Emont	image	122
Emont	image	9
Emont	image	1
Emont	image	102
Emont	image	372
Emont	image	94
Emont	image	103
Emont	image	1
Emont	image	4
Emont	image	5
Emont	image	185
Emont	image	202
Emont	image	186
Emont	image	105
Emont	image	35
Emont	image	324
Emont	image	350
Emont	image	53
Emont	image	284
Emont	image	183
Emont	image	114
Emont	image	83
Emont	image	50
Emont	image	66
Emont	image	272
Emont	image	5
Emont	image	197
Emont	image	181
Emont	image	39
Emont	image	630
Emont	image	7
Emont	image	41
Emont	image	105
Emont	image	319
Emont	image	218
Emont	image	12
Emont	image	14
Emont	image	125
Emont	image	156
Emont	image	65
Emont	image	166
Emont	image	161
Emont	image	33
Emont	image	175
Emont	image	314
Emont	image	118
Emont	image	119
Emont	image	91
Emont	image	122
Emont	image	34
Emont	image	26
Emont	image	84
Emont	image	81
Emont	image	10
Emont	image	29
Emont	image	1
Emont	image	11
Emont	image	10
Emont	image	86
Emont	image	5
Emont	image	15
Emont	image	254
Emont	image	69
Emont	image	79
Emont	image	14
Emont	image	26
Emont	image	221
Emont	image	5
Emont	image	438
Emont	image	117
Emont	image	199
Emont	image	33
Emont	image	12
Emont	image	113
Emont	image	94
Emont	image	12
Emont	image	31
Emont	image	232
Emont	image	35
Emont	text	507
Emont	text	436
Emont	text	360
Emont	text	215
Emont	text	4
Emont	text	6
Emont	text	18
Emont	text	18
Emont	text	14
Emont	text	372
Emont	text	94
Emont	text	1
Emont	text	50
Emont	text	186
Emont	text	105
Emont	text	66
Emont	text	272
Emont	text	33
Emont	text	118
Emont	text	91
Emont	text	1
Emont	text	10
Emont	text	29
Emont	text	39
Hildreth	image	22
Hildreth	image	3
Hildreth	image	11
Hildreth	image	28
Hildreth	image	218
Hildreth	image	129
Hildreth	image	31
Hildreth	image	4
Hildreth	image	6
Hildreth	image	27
Hildreth	image	13
Hildreth	image	267
Hildreth	image	2
Hildreth	image	6
Hildreth	image	31
Hildreth	image	84
Hildreth	image	9
Hildreth	image	2
Hildreth	image	12
Hildreth	image	191
Hildreth	image	59
Hildreth	image	5
Hildreth	image	427
Hildreth	image	6
Hildreth	image	1
Hildreth	image	104
Hildreth	image	18
Hildreth	image	3
Hildreth	image	21
Hildreth	image	11
Hildreth	image	602
Hildreth	image	7
Hildreth	image	2
Hildreth	image	3
Hildreth	image	52
Hildreth	image	83
Hildreth	image	20
Hildreth	image	869
Hildreth	image	2
Hildreth	image	103
Hildreth	image	9
Hildreth	image	50
Hildreth	image	34
Hildreth	image	14
Hildreth	image	7
Hildreth	image	3
Hildreth	image	582
Hildreth	image	392
Hildreth	image	39
Hildreth	image	11
Hildreth	image	121
Hildreth	image	5
Hildreth	image	241
Hildreth	image	15
Hildreth	image	1
Hildreth	image	29
Hildreth	image	69
Hildreth	image	341
Hildreth	image	2038
Hildreth	image	28
Hildreth	image	2498
Hildreth	image	1229
Hildreth	image	2577
Hildreth	image	2741
Hildreth	image	932
Hildreth	image	3915
Hildreth	image	3689
Hildreth	image	3854
Hildreth	image	1634
Hildreth	image	1560
Hildreth	image	2450
Hildreth	image	26
Hildreth	image	1660
Hildreth	image	1663
Hildreth	image	3
Hildreth	image	4
Hildreth	image	122
Hildreth	image	1
Hildreth	image	573
Hildreth	image	37
Hildreth	image	2
Hildreth	image	7
Hildreth	image	6
Hildreth	image	17
Hildreth	image	4
Hildreth	image	8
Hildreth	image	74
Hildreth	image	1
Hildreth	image	7
Hildreth	image	25
Hildreth	image	46
Hildreth	image	1
Hildreth	image	4
Hildreth	image	5
Hildreth	image	2
Hildreth	image	7
Hildreth	image	3
Hildreth	image	1
Hildreth	image	28
Hildreth	image	18
Hildreth	image	21
Hildreth	image	4
Hildreth	image	1
Hildreth	image	5
Hildreth	image	2
Hildreth	image	6
Hildreth	image	10
Hildreth	image	1
Hildreth	image	32
Hildreth	image	3
Hildreth	image	773
Hildreth	image	9
Hildreth	image	4
Hildreth	image	1
Hildreth	image	14
Hildreth	image	40
Hildreth	image	530
Hildreth	image	6
Hildreth	image	9
Hildreth	image	1
Hildreth	image	16
Hildreth	image	3
Hildreth	image	1
Hildreth	image	3
Hildreth	image	11
Hildreth	image	164
Hildreth	image	43
Hildreth	image	348
Hildreth	image	24
Hildreth	image	7
Hildreth	image	30
Hildreth	image	15
Hildreth	image	504
Hildreth	image	12
Hildreth	image	7
Hildreth	image	1
Hildreth	image	3
Hildreth	image	18
Hildreth	image	34
Hildreth	image	21
Hildreth	image	1
Hildreth	image	4
Hildreth	image	13
Hildreth	image	83
Hildreth	image	14
Hildreth	image	2
Hildreth	image	74
Hildreth	image	86
Hildreth	image	542
Hildreth	image	1
Hildreth	image	56
Hildreth	image	4
Hildreth	image	1
Hildreth	image	14
Hildreth	image	59
Hildreth	image	2
Hildreth	image	4
Hildreth	image	3
Hildreth	image	1
Hildreth	image	6
Hildreth	image	47
Hildreth	image	84
Hildreth	image	77
Hildreth	image	57
Hildreth	image	353
Hildreth	image	26
Hildreth	image	75
Hildreth	image	10
Hildreth	image	18
Hildreth	image	2
Hildreth	image	40
Hildreth	image	9
Hildreth	image	126
Hildreth	image	13
Hildreth	image	1
Hildreth	image	49
Hildreth	image	26
Hildreth	image	23
Hildreth	image	114
Hildreth	image	19
Hildreth	image	2
Hildreth	text	221
Hildreth	text	4
Hildreth	text	6
Hildreth	text	172
Hildreth	text	22
Hildreth	text	3
Hildreth	text	28
Hildreth	text	871
Hildreth	text	27
Hildreth	text	13
Hildreth	text	6
Hildreth	text	31
Hildreth	text	264
Hildreth	text	5
Hildreth	text	2
Hildreth	text	12
Hildreth	text	2
Hildreth	text	62
Hildreth	text	74
Hildreth	text	6
Hildreth	text	18
Hildreth	text	104
Hildreth	text	7
Hildreth	text	602
Hildreth	text	171
Hildreth	text	11
Hildreth	text	183
Hildreth	text	52
Hildreth	text	83
Hildreth	text	869
Hildreth	text	39
Hildreth	text	103
Hildreth	text	2
Hildreth	text	28
Hildreth	text	34
Hildreth	text	14
Hildreth	text	13
Hildreth	text	7
Hildreth	text	3
Hildreth	text	9
Hildreth	text	50
Hildreth	text	1
Hildreth	text	166
Hildreth	text	2038
Hildreth	text	69
Hildreth	text	341
Hildreth	text	69
Hildreth	text	121
Hildreth	text	5
Hildreth	text	30
Hildreth	text	428
Hildreth	text	11
Hildreth	text	39
Hildreth	text	582
Hildreth	text	10
Hildreth	text	3
Hildreth	text	49
Hildreth	text	41
Hildreth	text	559
He	image	4
He	image	80
He	image	92
He	image	11
He	image	35
He	image	8
He	image	29
He	image	62
He	image	3
He	image	12
He	image	116
He	image	20
He	image	8
He	image	18
He	image	1
He	image	38
He	image	93
He	image	1
He	image	6
He	image	69
He	image	14
He	image	21
He	image	15
He	image	5
He	image	41
He	image	1
He	image	113
He	image	163
He	text	92
He	text	35
He	text	18
He	text	20
He	text	8
He	text	62
He	text	12
He	text	116
He	text	8
He	text	29
He	text	54
He	text	3
He	text	1
He	text	19
He	text	65
He	text	1
He	text	7
He	text	23
He	text	6
He	text	5
He	text	2
He	text	22
He	text	59
He	text	28
He	text	12
He	text	125
He	text	82
He	text	30
He	text	3
He	text	20
He	text	93
He	text	6
He	text	1
He	text	69
He	text	14
He	text	29
He	text	5
He	text	15
He	text	60
He	text	24
He	text	30
He	text	10
He	text	6
He	text	13
He	text	4
He	text	11
He	text	80
Gautam	image	1
Gautam	image	7
Gautam	image	29
Gautam	image	65
Gautam	image	62
Gautam	image	489
Gautam	image	41
Gautam	image	7
Gautam	image	7
Gautam	image	393
Gautam	image	116
Gautam	image	3
Gautam	image	5
Gautam	image	2
Gautam	image	3
Gautam	image	372
Gautam	image	106
Gautam	image	23
Gautam	image	2
Gautam	image	1
Gautam	image	7
Gautam	image	2
Gautam	image	9
Gautam	image	3
Gautam	image	1
Gautam	image	6
Gautam	image	12
Gautam	image	5
Gautam	image	7
Gautam	image	7
Gautam	image	3
Gautam	image	41
Gautam	image	264
Gautam	image	13
Gautam	image	19
Gautam	image	113
Gautam	image	310
Gautam	image	260
Gautam	image	128
Gautam	image	504
Gautam	image	9
Gautam	image	5
Gautam	image	10
Gautam	image	2
Gautam	image	8
Gautam	image	13
Gautam	image	40
Gautam	image	2
Gautam	image	19
Gautam	image	91
Gautam	image	271
Gautam	image	131
Gautam	image	29
Gautam	image	99
Gautam	image	10
Gautam	image	47
Gautam	image	83
Gautam	image	160
Gautam	image	31
Gautam	image	80
Gautam	image	13
Gautam	image	4
Gautam	image	6
Gautam	image	973
Gautam	image	226
Gautam	image	10
Gautam	image	589
Gautam	image	4
Gautam	image	45
Gautam	image	7
Gautam	image	508
Gautam	image	12
Gautam	image	38
Gautam	image	11
Gautam	image	453
Gautam	image	20
Gautam	image	60
Gautam	image	1
Gautam	image	2
Gautam	image	4
Gautam	image	4
Gautam	image	2
Gautam	image	115
Gautam	image	52
Gautam	image	139
Gautam	image	153
Gautam	image	70
Gautam	image	395
Gautam	image	734
Gautam	image	369
Gautam	image	64
Gautam	image	109
Gautam	image	1
Gautam	image	60
Gautam	image	16
Gautam	image	13
Gautam	image	75
Gautam	image	14
Gautam	image	180
Gautam	image	183
Gautam	image	115
Gautam	image	15
Gautam	image	48
Gautam	image	88
Gautam	image	158
Gautam	image	42
Gautam	image	126
Gautam	image	18
Gautam	image	37
Gautam	image	57
Gautam	image	7
Gautam	image	134
Gautam	image	21
Gautam	image	228
Gautam	image	22
Gautam	image	128
Gautam	image	510
Gautam	image	35
Gautam	image	47
Gautam	image	101
Gautam	image	402
Gautam	image	59
Gautam	image	22
Gautam	image	34
Gautam	image	7
Gautam	image	354
Gautam	image	382
Gautam	image	64
Gautam	image	55
Gautam	image	1042
Gautam	image	1013
Gautam	image	292
Gautam	image	2380
Gautam	image	1613
Gautam	image	1570
Gautam	image	1149
Gautam	image	753
Gautam	image	710
Gautam	image	722
Gautam	image	16
Gautam	image	8
Gautam	image	4
Gautam	image	10
Gautam	image	206
Gautam	image	30
Gautam	image	21
Gautam	image	90
Gautam	image	14
Gautam	image	410
Gautam	image	118
Gautam	image	558
Gautam	image	30
Gautam	image	1218
Gautam	image	733
Gautam	image	827
Gautam	image	483
Gautam	image	156
Gautam	image	623
Gautam	image	185
Gautam	image	254
Gautam	image	49
Gautam	image	842
Gautam	image	107
Gautam	image	338
Gautam	image	59
Gautam	image	768
Gautam	image	55
Gautam	image	303
Gautam	image	173
Gautam	image	1372
Gautam	image	239
Gautam	image	161
Gautam	image	81
Gautam	image	699
Gautam	image	105
Gautam	image	974
Gautam	image	99
Gautam	image	907
Gautam	image	157
Gautam	image	966
Gautam	image	45
Gautam	image	522
Gautam	image	301
Gautam	image	556
Gautam	image	194
Gautam	image	201
Gautam	image	312
Gautam	image	696
Gautam	image	202
Gautam	image	63
Gautam	image	189
Gautam	image	70
Gautam	image	300
Gautam	image	151
Gautam	image	80
Gautam	image	280
Gautam	image	10
Gautam	image	506
Gautam	image	45
Gautam	image	179
Gautam	image	241
Gautam	image	2
Gautam	image	12
Gautam	image	202
Gautam	image	36
Gautam	image	19
Gautam	image	33
Gautam	image	486
Gautam	image	227
Gautam	image	899
Gautam	image	3
Gautam	image	136
Gautam	image	888
Gautam	image	72
Gautam	image	882
Gautam	image	150
Gautam	image	437
Gautam	image	1941
Gautam	image	58
Gautam	image	635
Gautam	text	13
Gautam	text	109
Gautam	text	1
Gautam	text	3
Gautam	text	1
Gautam	text	1
Gautam	text	3
Gautam	text	2
Gautam	text	4
Gautam	text	2
Gautam	text	18
Gautam	text	7
Gautam	text	47
Gautam	text	96
Gautam	text	115
Gautam	text	21
Gautam	text	76
Gautam	text	1
Gautam	text	13
Gautam	text	973
Gautam	text	226
Gautam	text	1564
Adams	image	8
Adams	image	7
Adams	image	9
Adams	image	42
Adams	image	73
Adams	image	501
Adams	image	33
Adams	image	65
Adams	image	13
Adams	image	195
Adams	image	10
Adams	image	138
Adams	image	20
Adams	image	193
Adams	image	6
Adams	image	431
Adams	image	1980
Adams	image	2476
Adams	image	1161
Adams	image	6
Adams	image	28
Adams	image	462
Adams	image	323
Adams	image	465
Adams	image	55
Adams	image	60
Adams	image	126
Adams	image	8
Adams	image	184
Adams	image	144
Adams	image	2
Adams	image	4
Adams	image	2
Adams	image	36
Adams	image	123
Adams	image	519
Adams	image	141
Adams	image	26
Adams	image	79
Adams	image	516
Adams	image	313
Adams	image	165
Adams	image	139
Adams	image	281
Adams	image	529
Adams	image	637
Adams	image	41
Adams	image	341
Adams	image	371
Adams	image	1712
Adams	image	20
Adams	image	344
Adams	image	35
Adams	image	198
Adams	image	49
Adams	image	682
Adams	image	221
Adams	image	629
Adams	image	1016
Adams	image	8
Adams	image	76
Adams	image	509
Adams	image	71
Adams	image	72
Adams	image	478
Adams	image	80
Adams	image	610
Adams	image	355
Adams	image	229
Adams	image	35
Adams	image	63
Adams	image	59
Adams	image	184
Adams	image	5
Adams	image	765
Adams	image	290
Adams	image	57
Adams	image	5
Adams	image	82
Adams	image	304
Adams	image	30
Adams	image	61
Adams	image	4
Adams	image	90
Adams	image	111
Adams	image	187
Adams	image	1134
Adams	image	53
Adams	image	377
Adams	image	353
Adams	image	118
Adams	image	28
Adams	image	20
Adams	image	545
Adams	image	122
Adams	image	269
Adams	image	73
Adams	image	516
Adams	image	146
Adams	image	321
Adams	image	172
Adams	image	702
Adams	image	52
Adams	text	180
Adams	text	18
Adams	text	151
Adams	text	164
Adams	text	256
Adams	text	371
Adams	text	88
Adams	text	184
Adams	text	331
Adams	text	504
Adams	text	684
Adams	text	825
Adams	text	348
Adams	text	318
Adams	text	163
Adams	text	344
Adams	text	172
Adams	text	54
Adams	text	70
Adams	text	98
Adams	text	10
Adams	text	27
Adams	text	394
Adams	text	43
Adams	text	145
Adams	text	181
Adams	text	257
Adams	text	1083
Adams	text	577
Adams	text	56
Adams	text	105
Wagner	image	659
Wagner	image	5
Wagner	image	28
Wagner	image	7
Wagner	image	14
Wagner	image	102
Wagner	image	9
Wagner	image	25
Wagner	image	2
Wagner	image	142
Wagner	image	5
Wagner	image	221
Wagner	image	128
Wagner	image	4
Wagner	image	400
Wagner	image	406
Wagner	image	29
Wagner	image	113
Wagner	image	6
Wagner	image	21
Wagner	image	8
Wagner	image	152
Wagner	image	6
Wagner	image	22
Wagner	image	25
Wagner	image	133
Wagner	image	315
Wagner	image	610
Wagner	image	13
Wagner	image	172
Wagner	image	15
Wagner	image	24
Wagner	image	724
Wagner	image	217
Wagner	image	28
Wagner	image	582
Wagner	image	321
Wagner	text	14
Wagner	text	102
Wagner	text	92
Wagner	text	284
Wagner	text	244
Wagner	text	25
Wagner	text	1
Wagner	text	44
Wagner	text	13
Wagner	text	406
Wagner	text	4
Wagner	text	142
Wagner	text	2
Wagner	text	29
Wagner	text	113
Wagner	text	6
Wagner	text	21
Wagner	text	8
Wagner	text	996
Wagner	text	2263
Wagner	text	24
Wagner	text	10
Wagner	text	1
Wagner	text	2
Wagner	text	17
Wagner	text	495
Wagner	text	161
Wagner	text	20
Wagner	text	659
Wagner	text	5
Wagner	text	7
Wagner	text	28
Wagner	text	58
Shamis	image	3
Shamis	image	5
Shamis	image	48
Shamis	image	37
Shamis	image	26
Shamis	image	3
Shamis	image	24
Shamis	image	26
Shamis	image	174
Shamis	image	1
Shamis	image	12
Shamis	image	104
Shamis	image	5
Shamis	image	10
Shamis	image	2
Shamis	image	3
Shamis	image	4
Shamis	image	3
Shamis	image	2
Shamis	image	12
Shamis	image	8
Shamis	image	22
Shamis	image	59
Shamis	image	102
Shamis	image	7
Shamis	image	2
Shamis	image	52
Shamis	image	190
Shamis	image	207
Shamis	image	36
Shamis	image	15
Shamis	image	9
Shamis	image	2
Shamis	image	4
Shamis	image	146
Shamis	image	456
Shamis	image	857
Shamis	image	148
Shamis	image	390
Shamis	image	417
Shamis	image	433
Shamis	image	967
Shamis	image	1530
Shamis	image	529
Shamis	image	944
Shamis	image	141
Shamis	image	163
Shamis	image	25
Shamis	image	33
Shamis	image	238
Shamis	image	60
Shamis	image	140
Shamis	image	121
Shamis	image	27
Shamis	image	39
Shamis	image	2
Shamis	image	1
Shamis	image	4
Shamis	image	10
Shamis	image	11
Shamis	text	29
Shamis	text	35
Shamis	text	185
Shamis	text	1485
Shamis	text	24
Shamis	text	154
Shamis	text	157
Shamis	text	395
Shamis	text	17
Shamis	text	174
Shamis	text	152
Shamis	text	20
Shamis	text	55
Shamis	text	640
Shamis	text	207
Shamis	text	51
Shamis	text	451
Shamis	text	661
Shamis	text	204
Shamis	text	430
Shamis	text	1
Shamis	text	130
Shamis	text	5
Shamis	text	29
Shamis	text	25
Shamis	text	11
Shamis	text	276
Shamis	text	7
Shamis	text	9
Shamis	text	23
Shamis	text	126
Shamis	text	13
Shamis	text	235
Shamis	text	30
Shamis	text	284
Shamis	text	63
Shamis	text	15
Shamis	text	64
Shamis	text	162
Shamis	text	34
Shamis	text	754
Shamis	text	645
Shamis	text	580
Shamis	text	607
Shamis	text	166
Shamis	text	584
Shamis	text	1071
Shamis	text	558
Shamis	text	1253
Shamis	text	275
Shamis	text	61
Shamis	text	175
Shamis	text	71
Shamis	text	90
Shamis	text	45
Shamis	text	10
Shamis	text	177
Shamis	text	3
Shamis	text	68
Shamis	text	11
Shamis	text	40
Shamis	text	14
Shamis	text	4
Shamis	text	7
Shamis	text	33
Shamis	text	137
Shamis	text	83
Shamis	text	6
Shamis	text	173
Shamis	text	33
Shamis	text	18
Shamis	text	166
Shamis	text	5
