paper_key	claim_key	target_label	comparison_label	comparison_curie	provenance	exact	target_key
biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab:claim:2fc9e991a74dbc7bf01b	T-cell	healthy control		explicit		t cell
biorxiv:0900c414-6db3-1014-86e7-ea4583587c92	biorxiv:0900c414-6db3-1014-86e7-ea4583587c92:claim:9f2258b318b3d5b44162	lysozyme-positive colon cancer cell	lysozyme-negative cancer cell		explicit		lysozyme positive colon cancer cell
biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b:claim:dccb05339aecac72328d	intrahepatic cholangiocyte organoid	primary human hepatocyte	CL:0000182	explicit	0.0	intrahepatic cholangiocyte organoid
biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002:claim:6928c3a2d1cd4ef6530e	mature normal density neutrophil	immature low density neutrophil	CL:0000775	implicit	0.0	mature normal density neutrophil
biorxiv:1819420a-7028-1014-9d82-b8532c727b67	biorxiv:1819420a-7028-1014-9d82-b8532c727b67:claim:04de0ad68d2fddba435b	globus pallidus internus shell neuron	globus pallidus internus core neuron	CL:0000540	explicit	0.0	globus pallidus internus shell neuron
biorxiv:1819420a-7028-1014-9d82-b8532c727b67	biorxiv:1819420a-7028-1014-9d82-b8532c727b67:claim:7a81ce9218a9716d28c4	globus pallidus internus core neuron	globus pallidus internus shell neuron	CL:0000540	explicit	0.0	globus pallidus internus core neuron
biorxiv:1898c531-75b0-1014-a18a-e291a49d1496	biorxiv:1898c531-75b0-1014-a18a-e291a49d1496:claim:f8f16db1e2211e562a78	pericyte	smooth muscle cell	CL:0000192	explicit	1.0	pericyte
biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad:claim:0deb22208e657f75bc5e	PD-1+ CD8+ T cell metacluster B/C	terminally-differentiated and dividing PD-1+ CD8+ T cell	CL:0000084	explicit	0.0	pd 1 cd8 t cell metacluster b c
biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad:claim:ef3412d6abeb9f9e9d39	PD-1+ CD8+ T cell metacluster C	PD-1+ CD8+ T cell metacluster B	CL:0000084	implicit	0.0	pd 1 cd8 t cell metacluster c
biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb:claim:ec5061a82b4f907de847	monocyte-derived dendritic cell-like cell	conventional myeloid dendritic cell	CL:0000782	explicit	0.0	monocyte derived dendritic cell like cell
