ablation	ablation_cl_id	ablation_cl_label	ablation_confidence	ablation_rationale	ablation_relation_to_full	collection	common_cl_id	common_cl_label	doi	full_cl_id	full_cl_label	full_confidence	full_rationale	gene_names	paper_id	profile_id	reported_label	title	year
label_context	CL:0000235	macrophage	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0000235	macrophage	10.1101/2025.11.27.690370	CL:0000235	macrophage	candidate_preview	dry run candidate preview	"[""STARD13"", ""CD163"", ""MRC1""]"	14	239	STRAD13⁺ MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
marker_context	CL:0000235	macrophage	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0000235	macrophage	10.1101/2025.11.27.690370	CL:0000235	macrophage	candidate_preview	dry run candidate preview	"[""STARD13"", ""CD163"", ""MRC1""]"	14	239	STRAD13⁺ MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
label_context	CL:0002393	intermediate monocyte	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0002393	intermediate monocyte	10.1101/2025.02.27.640483	CL:0002393	intermediate monocyte	candidate_preview	dry run candidate preview	"[""ISG15"", ""IFI6"", ""IFI44L"", ""MX1"", ""MX2""]"	64	616	HLA-DR-HIGH INTERMEDIATE MONOCYTES	Single-cell RNA sequencing of peripheral blood defines two immunological subtypes of Sjögren’s disease	2025
marker_context	CL:0019018	blood vessel smooth muscle cell	candidate_preview	dry run candidate preview	different_branch	biorxiv	CL:0000000	cell	10.1101/2025.02.27.640483	CL:0002393	intermediate monocyte	candidate_preview	dry run candidate preview	"[""ISG15"", ""IFI6"", ""IFI44L"", ""MX1"", ""MX2""]"	64	616	HLA-DR-HIGH INTERMEDIATE MONOCYTES	Single-cell RNA sequencing of peripheral blood defines two immunological subtypes of Sjögren’s disease	2025
label_context	CL:0011025	exhausted T cell	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0011025	exhausted T cell	10.1101/2019.12.26.888503	CL:0011025	exhausted T cell	candidate_preview	dry run candidate preview	"[""GZMK"", ""PDCD1"", ""CD27"", ""GPR171"", ""TNFAIP3"", ""CD96"", ""SAMSN1"", ""ZFP36"", ""DUSP1"", ""CD69"", ""JUN""]"	195	1526	PRE_EXHAUSTED	Single cell transcriptome of CD8+ T cells in multiple cancers reveals comprehensive exhaustion associated mechanisms	2019
marker_context	CL:0011025	exhausted T cell	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0011025	exhausted T cell	10.1101/2019.12.26.888503	CL:0011025	exhausted T cell	candidate_preview	dry run candidate preview	"[""GZMK"", ""PDCD1"", ""CD27"", ""GPR171"", ""TNFAIP3"", ""CD96"", ""SAMSN1"", ""ZFP36"", ""DUSP1"", ""CD69"", ""JUN""]"	195	1526	PRE_EXHAUSTED	Single cell transcriptome of CD8+ T cells in multiple cancers reveals comprehensive exhaustion associated mechanisms	2019
label_context	CL:0000097	mast cell	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0000097	mast cell	10.1101/2025.05.23.655666	CL:0000097	mast cell	candidate_preview	dry run candidate preview	"[""TPSB2"", ""KIT"", ""MS4A2""]"	221	1734	MAST CELL	A Multimodal Spatial and Epigenomic Atlas of Human Adult Lung Topography	2025
marker_context	CL:0000097	mast cell	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0000097	mast cell	10.1101/2025.05.23.655666	CL:0000097	mast cell	candidate_preview	dry run candidate preview	"[""TPSB2"", ""KIT"", ""MS4A2""]"	221	1734	MAST CELL	A Multimodal Spatial and Epigenomic Atlas of Human Adult Lung Topography	2025
label_context	CL:0000815	regulatory T cell	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0000815	regulatory T cell	10.1101/2024.04.15.589544	CL:0000815	regulatory T cell	candidate_preview	dry run candidate preview	"[""FOXP3"", ""CTLA4"", ""ICOS"", ""BATF""]"	300	2270	TREG	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
marker_context	CL:0000815	regulatory T cell	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0000815	regulatory T cell	10.1101/2024.04.15.589544	CL:0000815	regulatory T cell	candidate_preview	dry run candidate preview	"[""FOXP3"", ""CTLA4"", ""ICOS"", ""BATF""]"	300	2270	TREG	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
label_context	CL:0000000	cell	candidate_preview	dry run candidate preview	same_term	biorxiv	CL:0000000	cell	10.1101/2020.12.23.424147	CL:0000000	cell	candidate_preview	dry run candidate preview	"[""CD45RO"", ""CD57"", ""CCR5"", ""CCR7"", ""CXCR3"", ""CCR4""]"	328	2465	MEMORY CELL	Single cell analysis of blood mononuclear cells stimulated through CD3 and CD28 shows collateral activation of B and NK cells and demise of monocytes	2020
marker_context	CL:0000084	T cell	candidate_preview	dry run candidate preview	marker_is_descendant	biorxiv	CL:0000000	cell	10.1101/2020.12.23.424147	CL:0000000	cell	candidate_preview	dry run candidate preview	"[""CD45RO"", ""CD57"", ""CCR5"", ""CCR7"", ""CXCR3"", ""CCR4""]"	328	2465	MEMORY CELL	Single cell analysis of blood mononuclear cells stimulated through CD3 and CD28 shows collateral activation of B and NK cells and demise of monocytes	2020
