collection	common_cl_id	common_cl_label	doi	gene_names	label_cl_id	label_cl_label	label_confidence	label_rationale	marker_cl_id	marker_cl_label	marker_confidence	marker_rationale	ontology_relation	paper_id	profile_id	reported_label	title	year
benchmark	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	10.1038/s41590-021-00922-4	"[""FCGR3A"", ""FGFBP2"", ""KLRF1"", ""EOMES"", ""CD62L"", ""CD16"", ""T-BET"", ""PRF1"", ""GZMB"", ""GZMH"", ""KLRC2"", ""GNLY""]"	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	high	The mNK cells are described as CD16+ (FCGR3A), PERFORIN-high, TBET-high, EOMES-intermediate mature NK cells in human adipose tissue, matching the CD16-positive, CD56-dim cytotoxic NK cell phenotype.	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	high	The marker profile shows FCGR3A (CD16), KLRF1 (NKp80), FGFBP2, GNLY, PRF1, GZMB, GZMH, KLRC2 (NKG2C), and cytotoxic effector molecules characteristic of CD56-dim CD16-positive NK cells, with EOMES and T-BET further supporting mature cytotoxic NK cell identity.	same_term	2	59	MATURE NATURAL KILLER CELL	Single-cell sequencing of human white adipose tissue identifies new cell states in health and obesity	2021
biorxiv	CL:0000945	lymphocyte of B lineage	10.1101/2025.03.24.644909	"[""IGLC2"", ""IGHA1"", ""IGLL5"", ""JCHAIN"", ""IGLC3"", ""LY86""]"	CL:0000236	B cell	high	The reported label 'B CELL' directly matches the Cell Ontology term 'B cell' (CL:0000236), and the evidence mentioning IGLL5 and JCHAIN genes supports B cell lineage identity without further subtype specification.	CL:0000987	IgA plasma cell	high	The marker profile shows IGHA1 (IgA heavy chain), IGLC2/IGLC3 (immunoglobulin light chains), JCHAIN (joining chain critical for IgA secretion), and IGLL5, all characteristic of IgA-secreting plasma cells, consistent with mucosal (colorectal) tissue origin.	shared_parent	18	294	B CELL	Molecular Mechanisms of Chinese Medicine in Regulating Colorectal Cancer Immune Microenvironment: Insights from Single-Cell Transcriptomics and Network Pharmacology	2025
biorxiv			10.1101/2022.02.03.478962	"[""CXCL1"", ""CXCL2"", ""CXCL3"", ""CXCL8"", ""CCL20""]"			unmapped	The 'IMMUNE-REGULATORY' cluster describes tumor/epithelial cells with an immune-regulatory phenotype (expressing CXCL1/2/3/8, CCL20), not a regulatory immune cell type; none of the candidate terms (which are mostly regulatory T cells or macrophages) match this tumor cell cluster.	CL:0001064	malignant cell	medium	The marker profile (CXCL1, CXCL2, CXCL3, CXCL8, CCL20) represents a pro-inflammatory chemokine signature consistent with tumor cells undergoing epithelial-mesenchymal plasticity in oral squamous cell carcinoma, fitting the malignant cell designation in this cancer scRNAseq context.	label_unmapped	27	341	IMMUNE-REGULATORY	Mesenchymal-epithelial transition in lymph node metastases of oral squamous cell carcinoma is accompanied by ZEB1 expression	2022
biorxiv	CL:0001201	B cell, CD19-positive	10.1101/2023.02.26.530153	"[""CD19"", ""CD24"", ""CD38""]"	CL:0000969	regulatory B cell	high	The reported label 'B REGULATORY' with phenotype CD19+CD24highCD38high matches the regulatory B cell (Breg) definition, which is characterized by CD1d-positive expression and immunosuppressive function, and the CD24highCD38high phenotype is a well-established marker combination for human Bregs.	CL:0001201	B cell, CD19-positive	medium	The markers CD19, CD24, and CD38 on a cell labeled 'B memory' indicate a CD19-positive B cell; however, CD24 and CD38 co-expression can mark transitional or memory B cells, and without CD27 status the specific memory subtype cannot be precisely resolved among the candidates, so the broader CD19-positive B cell term is most appropriate.	marker_is_ancestor	41	445	B REGULATORY	Multiscale networks in multiple sclerosis	2023
biorxiv	CL:0000235	macrophage	10.1101/2025.09.25.678630	"[""GPNMB"", ""SPP1"", ""MYO1E"", ""LGALS3"", ""ABCA1"", ""ADARB1"", ""DMXL2"", ""DSCAM"", ""FMN1"", ""FNIP2"", ""IQGAP2"", ""MYO1D"", ""NHSL1"", ""PRKCE"", ""RASGRP3"", ""SAMD4A"", ""SCARB2"", ""SOCS6"", ""SULT1C2"", ""TANC2"", ""UGCG"", ""APOE"", ""TREM2"", ""ARID5B"", ""MAFB"", ""MITF"", ""PPARG"", ""TNFAIP8L3"", ""GAS7""]"	CL:0000129	microglial cell	high	HNDAM (human neurodegenerative disease-associated microglia) is a disease-associated transcriptional state of microglia, and the closest Cell Ontology term is the parent microglial cell type.	CL:4047053	TREM2-positive macrophage	high	The marker profile includes TREM2, GPNMB, SPP1, LGALS3, APOE, and ABCA1, which are hallmark genes of disease-associated microglia (DAM)/TREM2-positive myeloid cells in neurodegenerative diseases; CL:4047053 (TREM2-positive macrophage) is the closest available candidate term for this microglial/myeloid substate.	shared_parent	124	1057	HNDAM	Integrative analysis reveals generalizable human neurodegenerative disease-associated glial states	2025
biorxiv	CL:0000842	mononuclear leukocyte	10.1101/2022.09.09.507305	"[""HLA-DQA1"", ""HLA-DPA1"", ""HLA-DRB1""]"	CL:0001056	dendritic cell, human	high	The data is from human PBMCs and the marker genes mentioned (HLA-DQA1, HLA-DPA1, HLA-DRB1) are MHC class II genes consistent with HLA-DRA-positive dendritic cells in human, making the human-specific dendritic cell term the best match.	CL:2000001	peripheral blood mononuclear cell	medium	HLA-DQA1, HLA-DPA1, and HLA-DRB1 are MHC class II genes characteristic of antigen-presenting cells (dendritic cells, monocytes, B cells) within PBMCs; no more specific antigen-presenting cell type is available among candidates, and the data source is explicitly PBMCs.	shared_parent	170	1333	DENDRITIC CELL	A Variational Inference Approach to Single-Cell Gene Regulatory Network Inference using Probabilistic Matrix Factorization	2023
biorxiv	CL:0011025	exhausted T cell	10.1101/2022.08.19.504494	"[""PDCD1"", ""TOX"", ""CXCL13""]"	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'EXHAUSTED CD8 T CELL' directly matches the synonym 'exhausted CD8 T cell' of CL:0020031, and the context describes PDCD1/TOX expression characteristic of CD8+ T cell exhaustion.	CL:0011025	exhausted T cell	high	PDCD1 (PD-1), TOX, and CXCL13 are canonical markers of T cell exhaustion, with TOX being a master transcription factor driving the exhaustion program and CXCL13 marking terminally exhausted T cells.	marker_is_ancestor	236	1829	EXHAUSTED CD8 T CELL	CausalCell: applying causal discovery to single-cell analyses	2022
biorxiv	CL:0000842	mononuclear leukocyte	10.1101/2020.05.06.080259	"[""IL3RA"", ""IRF8"", ""MPEG1"", ""JCHAIN""]"	CL:0001058	plasmacytoid dendritic cell, human	high	The study analyzes human developmental haematopoiesis and identifies pDCs expressing IL3RA (CD123), IRF8, and JCHAIN, matching the human-specific pDC term (HLA-DRA+, CD123+, CD11c-, CD14-).	CL:0000786	plasma cell	low	JCHAIN is a hallmark of plasma/plasmablast cells, while IL3RA, IRF8, and MPEG1 suggest myeloid/dendritic progenitor features; in the context of developmental haematopoiesis this likely represents a progenitor with plasma cell-like transcriptional features, but plasma cell is the closest available candidate.	shared_parent	273	2113	PLASMACYTOID DENDRITIC CELL	Integrative Single-cell RNA-Seq and ATAC-Seq Analysis of Human Developmental Haematopoiesis	2020
biorxiv	CL:0000235	macrophage	10.1101/2024.04.15.589544	"[""MARCO"", ""FABP4"", ""MCEMP1"", ""CD163"", ""APOE""]"	CL:0000583	alveolar macrophage	high	The reported label 'ALVEOLAR MAC' with marker genes MARCO, FABP4, MCEMP1, CD163, APOE, and C1QA/B/C are canonical markers of alveolar macrophages, matching the general alveolar macrophage term rather than any specialized subtype.	CL:0000235	macrophage	high	MARCO, FABP4, CD163, APOE, and MCEMP1 are canonical markers of alveolar/tissue-resident macrophages in the lung; the best available candidate is the general macrophage term.	marker_is_ancestor	300	2259	ALVEOLAR MAC	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	CL:0000623	natural killer cell	10.1101/2024.04.15.589544	"[""XCL1"", ""NCAM1"", ""KLRD1"", ""KLRF1""]"	CL:0000623	natural killer cell	high	The reported label 'NK CELL' with markers XCL1, NCAM1 (CD56), KLRD1, and KLRF1 in CD3-negative cells maps directly to the general natural killer cell term, as no subtype-specific markers (e.g., CD16 status) are provided to justify a more specific classification.	CL:0000623	natural killer cell	high	XCL1, NCAM1 (CD56), KLRD1 (CD94), and KLRF1 (NKp80) are canonical NK cell markers, and the lung cancer context does not support a more specific NK subtype.	same_term	300	2263	NK CELL	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
