ablation	ablation_cl_id	ablation_cl_label	ablation_confidence	ablation_rationale	ablation_relation_to_full	collection	common_cl_id	common_cl_label	doi	full_cl_id	full_cl_label	full_confidence	full_rationale	gene_names	paper_id	profile_id	reported_label	title	year
label_context	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'CD8+ EXHAUSTED T CELL (TEXH)' with markers PDCD1, LAG3, HAVCR2 precisely matches the definition of CD8-positive exhausted alpha-beta T cells characterized by impaired function and sustained PD-1 expression.	same_term	biorxiv	CL:0020031	CD8-positive exhausted alpha-beta T cell	10.1101/2025.11.27.690370	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'CD8+ EXHAUSTED T CELL' and markers PDCD1, LAG3, HAVCR2 precisely match the definition of CD8-positive exhausted alpha-beta T cells characterized by sustained PD-1 expression and impaired function.	"[""PDCD1"", ""LAG3"", ""HAVCR2""]"	14	213	CD8+ EXHAUSTED T CELL (TEXH)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
marker_context	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The markers PDCD1 (PD-1), LAG3, and HAVCR2 (TIM-3) are canonical exhaustion markers, and the paper describes CD8+ T cells with intermediate and terminal exhaustion in ESCC tumors.	same_term	biorxiv	CL:0020031	CD8-positive exhausted alpha-beta T cell	10.1101/2025.11.27.690370	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'CD8+ EXHAUSTED T CELL' and markers PDCD1, LAG3, HAVCR2 precisely match the definition of CD8-positive exhausted alpha-beta T cells characterized by sustained PD-1 expression and impaired function.	"[""PDCD1"", ""LAG3"", ""HAVCR2""]"	14	213	CD8+ EXHAUSTED T CELL (TEXH)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
label_context	CL:4047053	TREM2-positive macrophage	high	The reported label 'TREM2HIGH MACROPHAGE' directly matches the Cell Ontology term for TREM2-positive macrophages, which are characterized by high expression of TREM2 and found in tumor microenvironments.	same_term	biorxiv	CL:4047053	TREM2-positive macrophage	10.1101/2025.11.27.690370	CL:4047053	TREM2-positive macrophage	high	The reported label 'TREM2HIGH MACROPHAGE' and marker genes (TREM2, APOE, C1QA) directly match the definition of TREM2-positive macrophage, which is characterized by high expression of TREM2 and found in tumor microenvironments.	"[""TREM2"", ""APOE"", ""C1QA"", ""SPP1""]"	14	243	TREM2HIGH MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
marker_context	CL:4047053	TREM2-positive macrophage	high	The marker profile with TREM2, APOE, C1QA, and SPP1 precisely matches the TREM2-positive macrophage definition, which is characterized by high TREM2 expression and found in tumor microenvironments.	same_term	biorxiv	CL:4047053	TREM2-positive macrophage	10.1101/2025.11.27.690370	CL:4047053	TREM2-positive macrophage	high	The reported label 'TREM2HIGH MACROPHAGE' and marker genes (TREM2, APOE, C1QA) directly match the definition of TREM2-positive macrophage, which is characterized by high expression of TREM2 and found in tumor microenvironments.	"[""TREM2"", ""APOE"", ""C1QA"", ""SPP1""]"	14	243	TREM2HIGH MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
label_context	CL:0000235	macrophage	high	TREM2LOW macrophages are a subset of macrophages with low TREM2 expression, distinguished from TREM2HIGH macrophages in the same study, best mapped to the general macrophage term.	same_term	biorxiv	CL:0000235	macrophage	10.1101/2025.11.27.690370	CL:0000235	macrophage	high	TREM2LOW macrophages are a subtype of macrophages characterized by low TREM2 expression and markers APOE, C1QA, C1QC, but no specific ontology term exists for TREM2-low macrophages.	"[""APOE"", ""C1QA"", ""C1QC""]"	14	244	TREM2LOW	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
marker_context	CL:0000235	macrophage	high	The marker genes APOE, C1QA, and C1QC are canonical macrophage markers, particularly characteristic of tumor-associated macrophages in the tumor microenvironment.	same_term	biorxiv	CL:0000235	macrophage	10.1101/2025.11.27.690370	CL:0000235	macrophage	high	TREM2LOW macrophages are a subtype of macrophages characterized by low TREM2 expression and markers APOE, C1QA, C1QC, but no specific ontology term exists for TREM2-low macrophages.	"[""APOE"", ""C1QA"", ""C1QC""]"	14	244	TREM2LOW	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
label_context	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'EXHAUSTED CD8 T CELL' and evidence describing CD8 T cell exhaustion with PDCD1 upregulation by TOX directly matches this term's definition.	same_term	biorxiv	CL:0020031	CD8-positive exhausted alpha-beta T cell	10.1101/2022.08.19.504494	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'EXHAUSTED CD8 T CELL' with markers PDCD1, TOX, and CXCL13 directly matches the definition of CD8-positive exhausted alpha-beta T cell characterized by sustained PD-1 expression.	"[""PDCD1"", ""TOX"", ""CXCL13""]"	236	1829	EXHAUSTED CD8 T CELL	CausalCell: applying causal discovery to single-cell analyses	2022
marker_context	CL:0011025	exhausted T cell	high	PDCD1 (PD-1), TOX, and CXCL13 are canonical markers of T cell exhaustion.	marker_is_ancestor	biorxiv	CL:0011025	exhausted T cell	10.1101/2022.08.19.504494	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'EXHAUSTED CD8 T CELL' with markers PDCD1, TOX, and CXCL13 directly matches the definition of CD8-positive exhausted alpha-beta T cell characterized by sustained PD-1 expression.	"[""PDCD1"", ""TOX"", ""CXCL13""]"	236	1829	EXHAUSTED CD8 T CELL	CausalCell: applying causal discovery to single-cell analyses	2022
label_context	CL:4047053	TREM2-positive macrophage	high	The evidence explicitly describes TREM2-expressing macrophages in glioblastoma with the TYROBP→TREM2→A2M→APOE→APOC1 cascade, matching the TREM2-positive macrophage definition found in tumor microenvironments.	same_term	biorxiv	CL:4047053	TREM2-positive macrophage	10.1101/2022.08.19.504494	CL:4047053	TREM2-positive macrophage	high	The marker profile includes TREM2 as a key gene and describes macrophages in glioblastoma with the TYROBP→TREM2→A2M→APOE→APOC1 cascade, matching the TREM2-positive macrophage definition found in tumor microenvironments.	"[""CD74"", ""TREM2"", ""TYROBP"", ""A2M"", ""APOE"", ""APOC1"", ""C1QA"", ""C1QB"", ""C1QC""]"	236	1830	MACROPHAGE	CausalCell: applying causal discovery to single-cell analyses	2022
marker_context	CL:4047053	TREM2-positive macrophage	high	The marker profile shows high expression of TREM2, TYROBP (DAP12, TREM2's signaling partner), and macrophage markers CD74, C1QA/B/C, APOE, and APOC1, which precisely matches the TREM2-positive macrophage definition.	same_term	biorxiv	CL:4047053	TREM2-positive macrophage	10.1101/2022.08.19.504494	CL:4047053	TREM2-positive macrophage	high	The marker profile includes TREM2 as a key gene and describes macrophages in glioblastoma with the TYROBP→TREM2→A2M→APOE→APOC1 cascade, matching the TREM2-positive macrophage definition found in tumor microenvironments.	"[""CD74"", ""TREM2"", ""TYROBP"", ""A2M"", ""APOE"", ""APOC1"", ""C1QA"", ""C1QB"", ""C1QC""]"	236	1830	MACROPHAGE	CausalCell: applying causal discovery to single-cell analyses	2022
