project_id	dataset_id	dataset_name	organism	n_labelsets	n_labels_with_markers	n_marker_records	n_unique_groups	n_unique_features	markers_path
609	1412	Cross-species Spinal Cord Atlas: Cholinergic	mixed	4	0	0	0	0	data/cell_annotation_platform/datasets/project_609_dataset_1412_cross-species-spinal-cord-atlas-cholinergic/markers.json
609	1409	Cross-species Spinal Cord Atlas: Glutamatergic	mixed	4	0	0	0	0	data/cell_annotation_platform/datasets/project_609_dataset_1409_cross-species-spinal-cord-atlas-glutamatergic/markers.json
609	1410	Cross-species Spinal Cord Atlas	mixed	4	0	0	0	0	data/cell_annotation_platform/datasets/project_609_dataset_1410_cross-species-spinal-cord-atlas/markers.json
609	1411	Cross-species Spinal Cord Atlas: Non-Neurons	mixed	4	0	0	0	0	data/cell_annotation_platform/datasets/project_609_dataset_1411_cross-species-spinal-cord-atlas-non-neurons/markers.json
618	1438	CD45 negative cells from human liver dataset	homo_sapiens	1	8	80	8	78	data/cell_annotation_platform/datasets/project_618_dataset_1438_cd45-negative-cells-from-human-liver-dataset/markers.json
618	1439	Lymphoid cells from human liver dataset	homo_sapiens	1	13	119	13	94	data/cell_annotation_platform/datasets/project_618_dataset_1439_lymphoid-cells-from-human-liver-dataset/markers.json
618	1440	Myeloid cells from human liver dataset	homo_sapiens	1	10	100	10	85	data/cell_annotation_platform/datasets/project_618_dataset_1440_myeloid-cells-from-human-liver-dataset/markers.json
387	816	Concerted changes in the pediatric single-cell intestinal ecosystem before and after anti-TNF blockade	homo_sapiens	1	48	240	48	134	data/cell_annotation_platform/datasets/project_387_dataset_816_concerted-changes-in-the-pediatric-single-cell-intestinal-ecosystem-before-and-a/markers.json
389	825	An Atlas of Cells in the Human Tonsil	homo_sapiens	1	42	274	42	163	data/cell_annotation_platform/datasets/project_389_dataset_825_an-atlas-of-cells-in-the-human-tonsil/markers.json
621	1487	snRNA-seq of human optic nerve and optic nerve head - oligodendrocytes	homo_sapiens	1	5	20	5	7	data/cell_annotation_platform/datasets/project_621_dataset_1487_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-oligodendrocytes/markers.json
613	1427	Skin fibroblasts - Pan-disease fibroblast atlas in skin fibrosis, inflammation, and cancer	homo_sapiens	1	14	124	14	103	data/cell_annotation_platform/datasets/project_613_dataset_1427_skin-fibroblasts-pan-disease-fibroblast-atlas-in-skin-fibrosis-inflammation-and/markers.json
613	1426	Skin fibroblast scRNA-seq atlas in health	homo_sapiens	1	9	64	9	63	data/cell_annotation_platform/datasets/project_613_dataset_1426_skin-fibroblast-scrna-seq-atlas-in-health/markers.json
672	1742	BoneMarrowMap: A Balanced Single-cell Reference Atlas of Human Hematopoiesis	homo_sapiens	1	55	550	55	362	data/cell_annotation_platform/datasets/project_672_dataset_1742_bonemarrowmap-a-balanced-single-cell-reference-atlas-of-human-hematopoiesis/markers.json
336	591	AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India	homo_sapiens	1	21	129	21	68	data/cell_annotation_platform/datasets/project_336_dataset_591_aida-phase-1-data-freeze-v2-chinese-indian-japanese-korean-malay-and-thai-donors/markers.json
637	1542	HMBA Consensus Basal Ganglia Atlas	mixed	5	56	87	49	38	data/cell_annotation_platform/datasets/project_637_dataset_1542_hmba-consensus-basal-ganglia-atlas/markers.json
637	1540	HMBA Consensus Basal Ganglia Atlas: Non-neurons	mixed	5	14	22	10	9	data/cell_annotation_platform/datasets/project_637_dataset_1540_hmba-consensus-basal-ganglia-atlas-non-neurons/markers.json
637	1541	HMBA Consensus Basal Ganglia Atlas: CN LGE GABA	mixed	5	15	19	15	8	data/cell_annotation_platform/datasets/project_637_dataset_1541_hmba-consensus-basal-ganglia-atlas-cn-lge-gaba/markers.json
637	1539	HMBA Consensus Basal Ganglia Atlas: Interneurons	mixed	5	23	34	21	16	data/cell_annotation_platform/datasets/project_637_dataset_1539_hmba-consensus-basal-ganglia-atlas-interneurons/markers.json
637	1538	HMBA Consensus Basal Ganglia Atlas: Dopaminergic	mixed	5	6	14	5	8	data/cell_annotation_platform/datasets/project_637_dataset_1538_hmba-consensus-basal-ganglia-atlas-dopaminergic/markers.json
